Unnamed: 0,NYG,DAL
First Downs,20,20
Rush-Yds-TDs,26-104-0,35-156-1
Cmp-Att-Yd-TD-INT,21-33-248-3-0,17-23-279-3-1
Sacked-Yards,0-0,2-12
Net Pass Yards,248,267
Total Yards,352,423
Fumbles-Lost,2-2,0-0
Turnovers,2,1
Penalties-Yards,6-40,6-46
Third Down Conv.,5-13,9-14
Fourth Down Conv.,1-1,0-0
Time of Possession,26:11,33:49
