Quarter,Time,Tm,Detail,HOU,STL
1.0,3:30,Texans,Kris Brown 27 yard field goal,3,0
2.0,7:25,Rams,Josh Brown 33 yard field goal,3,3
,4:20,Texans,Kris Brown 25 yard field goal,6,3
,1:47,Rams,Danny Amendola 2 yard pass from Keith Null (Josh Brown kick),6,10
3.0,5:15,Texans,Kevin Walter 3 yard pass from Matt Schaub (Kris Brown kick),13,10
,1:25,Rams,Josh Brown 52 yard field goal,13,13
4.0,4:36,Texans,Kris Brown 28 yard field goal,16,13
