Quarter,Time,Down,ToGo,Location,HOU,STL,Detail,EPB,EPA
2,10:10,2,7,STL 40,3,0,"Keith Null pass incomplete short left intended for Donnie Avery. Penalty on Brian Cushing: Defensive Offside, 5 yards (no play)",1.260,1.940
2,10:05,2,2,STL 45,3,0,Steven Jackson right end for 35 yards (tackle by Bernard Pollard),1.940,4.240
2,9:11,1,10,HOU 20,3,0,"Penalty on Keith Null: Delay of Game, 5 yards (no play)",4.240,3.910
2,9:00,1,15,HOU 25,3,0,Samkon Gado middle for 1 yard (tackle by DeMeco Ryans),3.910,3.150
2,8:20,2,14,HOU 24,3,0,Keith Null pass complete short right to Donnie Avery for 10 yards (tackle by Dominique Barber),3.150,3.890
2,7:34,3,4,HOU 14,3,0,Keith Null pass incomplete short left intended for Donnie Avery,3.890,2.580
2,7:28,4,4,HOU 14,3,3,Josh Brown 33 yard field goal good,2.580,3.000
2,,,,STL 30,3,3,"Josh Brown kicks off 71 yards, returned by Andre' Davis for 23 yards (tackle by Larry Grant)",0.000,0.410
2,7:20,1,10,HOU 22,3,3,Matt Schaub pass complete deep middle to Andre Johnson for 49 yards (tackle by James Butler),0.410,3.640
2,6:39,1,10,STL 29,3,3,Ryan Moats left end for 13 yards (tackle by James Laurinaitis),3.640,4.510
2,6:00,1,10,STL 16,3,3,Ryan Moats left tackle for 11 yards (tackle by Craig Dahl),4.510,6.060
2,5:20,1,5,STL 5,3,3,Ryan Moats left end for -2 yards (tackle by Darell Scott),6.060,4.760
2,4:34,2,7,STL 7,3,3,Matt Schaub pass incomplete short left intended for Kevin Walter (defended by Paris Lenon),4.760,3.810
2,4:29,,,,3,3,Timeout #2 by Houston Texans,0.000,3.810
2,4:29,3,7,STL 7,3,3,Matt Schaub pass incomplete short middle intended for Joel Dreessen,3.810,2.970
2,4:24,4,7,STL 7,6,3,Kris Brown 25 yard field goal good,2.970,3.000
2,,,,HOU 30,6,3,"Kris Brown kicks off 65 yards, returned by Danny Amendola for 55 yards (tackle by Jacques Reeves). Penalty on Jacques Reeves: Face Mask (15 Yards), 15 yards",0.000,3.910
2,4:11,1,10,HOU 25,6,3,Steven Jackson left guard for 12 yards (tackle by Glover Quin and Brian Cushing),3.910,4.710
2,3:38,1,10,HOU 13,6,3,Steven Jackson right tackle for 3 yards (tackle by Mario Williams),4.710,4.580
2,3:01,2,7,HOU 10,6,3,Keith Null pass complete short right to Donnie Avery for 6 yards (tackle by Dominique Barber),4.580,5.010
2,2:19,3,1,HOU 4,6,3,Steven Jackson middle for 2 yards (tackle by Dominique Barber),5.010,6.740
2,2:00,1,2,HOU 2,6,3,Keith Null pass incomplete short right intended for Danny Amendola,6.740,5.720
2,1:56,2,2,HOU 2,6,3,Steven Jackson right tackle for no gain (tackle by Zach Diles),5.720,4.950
2,1:51,,,,6,3,Timeout #3 by Houston Texans,0.000,4.950
2,1:51,3,2,HOU 2,6,9,"Keith Null pass complete short right to Danny Amendola for 2 yards, touchdown",4.950,7.000
2,,,,HOU 2,6,10,Josh Brown kicks extra point good,0.000,0.000
2,,,,STL 30,6,10,"Josh Brown kicks off 61 yards, returned by Andre' Davis for 18 yards (tackle by Danny Gorrer)",0.000,0.740
2,1:39,1,10,HOU 27,6,10,Matt Schaub pass incomplete short middle intended for Jacoby Jones,0.740,0.200
2,1:34,2,10,HOU 27,6,10,Matt Schaub pass complete short right to David Anderson for 5 yards (tackle by Justin King),0.200,0.170
2,1:08,3,5,HOU 32,6,10,Matt Schaub pass complete short middle to Jacoby Jones for 9 yards (tackle by James Laurinaitis),0.170,1.660
2,0:50,1,10,HOU 41,6,10,Matt Schaub pass complete deep left to Andre Johnson for 19 yards (tackle by James Butler),1.660,2.920
2,0:30,1,10,STL 40,6,10,Matt Schaub spiked the ball,2.920,2.370
2,0:30,2,10,STL 40,6,10,Matt Schaub pass complete short left to Jacoby Jones for 6 yards (tackle by Craig Dahl),2.370,2.480
2,0:09,3,4,STL 34,6,10,Matt Schaub pass incomplete short left intended for Jacoby Jones,2.480,1.080
2,0:05,4,4,STL 34,6,10,Kris Brown 52 yard field goal no good,1.080,1.660
Quarter,Time,Down,ToGo,Location,HOU,STL,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,HOU 30,6,10,"Kris Brown kicks off 70 yards, returned by Danny Amendola for 24 yards (tackle by John Busing)",0.000,0.540
3,14:54,1,10,STL 24,6,10,Steven Jackson middle for no gain (tackle by Antonio Smith),0.540,0.000
3,14:20,2,10,STL 24,6,10,Keith Null pass complete short right to Steven Jackson for 2 yards (tackle by Dunta Robinson),0.000,-0.430
3,13:42,,,,6,10,Timeout #1 by Houston Texans,0.000,-0.430
3,13:42,3,8,STL 26,6,10,Keith Null pass incomplete short left intended for Ruvell Martin (defended by Connor Barwin),-0.430,-1.630
3,13:37,4,8,STL 26,6,10,Donnie Jones punts 44 yards,-1.630,-0.940
3,13:31,1,10,HOU 30,6,10,Matt Schaub pass complete short right to Chris Brown for 4 yards (tackle by Justin King),0.940,0.930
3,12:56,2,6,HOU 34,6,10,Matt Schaub pass complete short right to Andre Johnson for 5 yards (tackle by Ronald Bartell),0.930,0.890
3,12:21,3,1,HOU 39,6,10,"Matt Schaub middle for no gain. Matt Schaub fumbles, recovered by Craig Dahl at HOU-40 (tackle by David Anderson)",0.890,-2.920
3,12:11,1,10,HOU 40,6,10,Steven Jackson for 9 yards (tackle by Bernard Pollard),2.920,3.590
3,11:37,2,1,HOU 31,6,10,Steven Jackson left tackle for 6 yards (tackle by DeMeco Ryans),3.590,3.910
3,11:04,1,10,HOU 25,6,10,Keith Null pass incomplete short middle intended for Ruvell Martin is intercepted by Dominique Barber at HOU-14 and returned for 3 yards,3.910,0.060
3,10:55,1,10,HOU 17,6,10,Ryan Moats right end for 2 yards (tackle by David Vobora),-0.060,-0.250
3,10:16,2,8,HOU 19,6,10,Matt Schaub pass complete short left to Joel Dreessen for 5 yards (tackle by David Vobora),-0.250,-0.370
3,9:37,3,3,HOU 24,6,10,Matt Schaub pass complete short right to Andre Johnson for 6 yards (tackle by James Laurinaitis),-0.370,0.940
3,8:53,1,10,HOU 30,6,10,Matt Schaub pass complete short left to Andre' Davis for 21 yards (tackle by Craig Dahl),0.940,2.320
3,8:10,1,10,STL 49,6,10,Matt Schaub pass complete short right to Joel Dreessen for 13 yards (tackle by James Laurinaitis),2.320,3.180
3,7:27,1,10,STL 36,6,10,Ryan Moats left tackle for 1 yard (tackle by Clifton Ryan),3.180,2.770
3,6:48,2,9,STL 35,6,10,Matt Schaub pass complete short right to David Anderson for 10 yards (tackle by Ronald Bartell),2.770,3.910
3,6:11,1,10,STL 25,6,10,Matt Schaub pass incomplete deep right intended for Andre Johnson (defended by Ronald Bartell),3.910,3.360
3,6:03,2,10,STL 25,6,10,Matt Schaub pass complete short left to Joel Dreessen for 22 yards (tackle by James Butler),3.360,6.510
3,5:21,1,3,STL 3,12,10,"Matt Schaub pass complete short right to Kevin Walter for 3 yards, touchdown",6.510,7.000
3,,,,STL 2,13,10,Kris Brown kicks extra point good,0.000,0.000
3,,,,HOU 30,13,10,"Kris Brown kicks off 75 yards, returned by Danny Amendola for 32 yards (tackle by Xavier Adibi)",0.000,0.740
3,5:10,1,10,STL 27,13,10,Steven Jackson right tackle for -1 yards (tackle by Amobi Okoye),0.740,0.060
3,4:30,2,11,STL 26,13,10,Keith Null pass complete short right to Mike Karney for 1 yard (tackle by Bernard Pollard),0.060,-0.490
3,3:49,3,10,STL 27,13,10,Keith Null pass complete deep left to Brandon Gibson for 18 yards (tackle by Bernard Pollard),-0.490,1.930
3,3:02,1,10,STL 45,13,10,Keith Null pass complete short right to Randy McMichael for 20 yards (tackle by Dunta Robinson),1.930,3.250
3,2:19,1,10,HOU 35,13,10,Steven Jackson right tackle for 1 yard (tackle by Bernard Pollard),3.250,2.840
3,1:40,2,9,HOU 34,13,10,Keith Null pass incomplete short left intended for Brandon Gibson (defended by Jacques Reeves),2.840,2.150
3,1:36,3,9,HOU 34,13,10,Keith Null pass incomplete short right intended for Brandon Gibson,2.150,1.060
3,1:30,4,9,HOU 34,13,13,Josh Brown 52 yard field goal good,1.060,3.000
3,,,,STL 30,13,13,"Josh Brown kicks off 75 yards, touchback",0.000,0.280
3,1:25,1,10,HOU 20,13,13,Matt Schaub pass complete short right to Kevin Walter for 2 yards (tackle by Ronald Bartell),0.280,0.000
3,0:52,2,8,HOU 22,13,13,Ryan Moats right tackle for 4 yards (tackle by Justin King),0.000,-0.160
3,0:11,3,4,HOU 26,13,13,Matt Schaub pass complete short left to David Anderson for 5 yards (tackle by Justin King),-0.160,1.000
Quarter,Time,Down,ToGo,Location,HOU,STL,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,HOU 31,13,13,Matt Schaub pass incomplete short right intended for Chris Brown,1.000,0.460
4,14:55,2,10,HOU 31,13,13,Matt Schaub pass complete short right to Andre Johnson for 1 yard (tackle by James Butler),0.460,-0.100
4,14:13,3,9,HOU 32,13,13,Matt Schaub pass complete short right to David Anderson for 5 yards (tackle by Ronald Bartell),-0.100,-0.910
4,13:36,4,4,HOU 37,13,13,"Matt Turk punts 35 yards, muffed catch by David Roach, recovered by Ruvell Martin and returned for no gain",-0.910,-0.480
4,13:25,1,10,STL 23,13,13,Steven Jackson right tackle for 12 yards (tackle by Bernard Pollard),0.480,1.270
4,12:46,1,10,STL 35,13,13,Steven Jackson middle for 1 yard (tackle by Shaun Cody),1.270,0.860
4,12:04,2,9,STL 36,13,13,"Keith Null pass complete short left to Donnie Avery for 7 yards (tackle by Zach Diles). Penalty on Steven Jackson: Unnecessary Roughness (Offsetting), Penalty on Bernard Pollard: Unnecessary Roughness (Offsetting)",0.860,1.090
4,12:04,3,2,STL 43,13,13,Kenneth Darby right tackle for 3 yards (tackle by Bernard Pollard),1.090,1.990
4,11:00,1,10,STL 46,13,13,Kenneth Darby right end for 1 yard (tackle by Glover Quin),1.990,1.590
4,10:24,2,9,STL 47,13,13,Keith Null pass complete short left to Brandon Gibson for 8 yards (tackle by Zach Diles),1.590,1.950
4,9:59,3,1,HOU 45,13,13,Kenneth Darby left guard for 1 yard (tackle by DeMeco Ryans),1.950,2.650
4,9:23,1,10,HOU 44,13,13,Keith Null pass incomplete deep left intended for Brandon Gibson,2.650,2.110
4,9:16,2,10,HOU 44,13,13,Steven Jackson middle for -2 yards (tackle by Jeff Zgonina),2.110,1.160
4,8:41,3,12,HOU 46,13,13,Keith Null sacked by Connor Barwin for -11 yards,1.160,-0.520
4,8:19,4,23,STL 43,13,13,Donnie Jones punts 48 yards,-0.520,0.380
4,8:07,1,10,HOU 9,13,13,"Matt Schaub pass incomplete short middle intended for Kevin Walter. Penalty on Justin King: Defensive Holding, 5 yards (no play)",-0.380,-0.280
4,8:01,1,10,HOU 14,13,13,Ryan Moats left tackle for no gain (tackle by Darell Scott),-0.280,-0.750
4,7:24,2,10,HOU 14,13,13,Matt Schaub pass complete deep middle to Andre Johnson for 30 yards (tackle by Craig Dahl),-0.750,1.860
4,6:39,1,10,HOU 44,13,13,Matt Schaub pass complete deep right to Andre Johnson for 44 yards (tackle by Craig Dahl),1.860,4.780
4,6:02,1,10,STL 12,13,13,Chris Brown right tackle for no gain (tackle by Leger Douzable),4.780,4.100
4,5:25,2,10,STL 12,13,13,Matt Schaub pass incomplete,4.100,3.120
4,5:18,3,10,STL 12,13,13,Matt Schaub pass complete short right to Jacoby Jones for 2 yards (tackle by Craig Dahl),3.120,2.760
4,4:38,4,8,STL 10,16,13,Kris Brown 28 yard field goal good,2.760,3.000
4,,,,HOU 30,16,13,"Kris Brown kicks off 71 yards, returned by Danny Amendola for 24 yards (tackle by Andre' Davis)",0.000,0.480
4,4:30,1,10,STL 23,16,13,Keith Null pass complete short right to Steven Jackson for 25 yards (tackle by Glover Quin and Antonio Smith),0.480,2.130
4,3:53,1,10,STL 48,16,13,Steven Jackson middle for -1 yards (tackle by Amobi Okoye),2.130,1.450
4,3:20,2,11,STL 47,16,13,Keith Null sacked by Antonio Smith for -8 yards,1.450,-0.290
4,2:49,3,19,STL 39,16,13,Keith Null pass complete short left to Kenneth Darby for 9 yards (tackle by Brian Cushing and DeMeco Ryans),-0.290,-0.190
4,2:39,,,,16,13,Timeout #1 by Los Angeles Rams,0.000,-0.190
4,2:39,4,10,STL 48,16,13,Donnie Jones punts 37 yards,-0.190,0.220
4,2:28,1,10,HOU 15,16,13,Ryan Moats right tackle for 7 yards (tackle by Ronald Bartell),-0.220,0.350
4,2:23,,,,16,13,Timeout #2 by Los Angeles Rams,0.000,0.350
4,2:23,2,3,HOU 22,16,13,Ryan Moats right tackle for 2 yards (tackle by Darell Scott),0.350,-0.270
4,2:18,,,,16,13,Timeout #3 by Los Angeles Rams,0.000,-0.270
4,2:18,3,1,HOU 24,16,13,Ryan Moats right guard for 2 yards (tackle by James Laurinaitis),-0.270,0.670
4,2:00,1,10,HOU 26,16,13,Matt Schaub kneels for -2 yards,0.670,-0.140
4,1:19,2,12,HOU 24,16,13,Matt Schaub kneels for -1 yards,-0.140,-0.960
4,0:38,3,13,HOU 23,16,13,Matt Schaub kneels for -1 yards,-0.960,-1.900
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
