Unnamed: 0,HOU,STL
First Downs,22,15
Rush-Yds-TDs,24-52-0,26-88-0
Cmp-Att-Yd-TD-INT,28-40-367-1-0,18-27-173-1-1
Sacked-Yards,0-0,3-24
Net Pass Yards,367,149
Total Yards,419,237
Fumbles-Lost,2-2,3-1
Turnovers,2,2
Penalties-Yards,4-30,3-15
Third Down Conv.,5-14,8-15
Fourth Down Conv.,1-1,1-1
Time of Possession,30:40,29:20
