Unnamed: 0,ATL,DAL
First Downs,22,33
Rush-Yds-TDs,34-113-0,31-125-4
Cmp-Att-Yd-TD-INT,24-37-273-4-0,34-49-450-1-0
Sacked-Yards,1-6,1-5
Net Pass Yards,267,445
Total Yards,380,570
Fumbles-Lost,0-0,4-3
Turnovers,0,3
Penalties-Yards,8-51,7-75
Third Down Conv.,8-17,7-13
Fourth Down Conv.,2-2,0-2
Time of Possession,33:48,26:12
