Quarter,Time,Tm,Detail,CLE,KAN
1.0,11:22,Chiefs,Ryan Succop 42 yard field goal,0,3
,4:46,Chiefs,Ryan Succop 35 yard field goal,0,6
2.0,10:26,Chiefs,Anthony Sherman 12 yard pass from Alex Smith (Ryan Succop kick),0,13
,2:44,Browns,Josh Gordon 39 yard pass from Jason Campbell (Billy Cundiff kick),7,13
,1:11,Chiefs,Dexter McCluster 28 yard pass from Alex Smith (Ryan Succop kick),7,20
,0:10,Browns,Billy Cundiff 44 yard field goal,10,20
3.0,9:58,Browns,Fozzy Whittaker 17 yard pass from Jason Campbell (Billy Cundiff kick),17,20
4.0,0:17,Chiefs,Ryan Succop 40 yard field goal,17,23
