Unnamed: 0,TAM,STL
First Downs,14,18
Rush-Yds-TDs,23-59-1,39-129-2
Cmp-Att-Yd-TD-INT,16-26-158-0-0,16-20-158-0-0
Sacked-Yards,7-47,1-10
Net Pass Yards,111,148
Total Yards,170,277
Fumbles-Lost,2-2,2-2
Turnovers,2,2
Penalties-Yards,3-26,7-85
Third Down Conv.,4-14,6-14
Fourth Down Conv.,1-2,1-2
Time of Possession,25:54,34:06
