Unnamed: 0,PHI,NYG
First Downs,18,32
Rush-Yds-TDs,27-110-0,35-185-1
Cmp-Att-Yd-TD-INT,21-37-211-1-1,14-22-223-5-0
Sacked-Yards,1-4,1-11
Net Pass Yards,207,212
Total Yards,317,397
Fumbles-Lost,1-0,0-0
Turnovers,1,0
Penalties-Yards,6-52,1-5
Third Down Conv.,4-14,5-8
Fourth Down Conv.,2-4,0-0
Time of Possession,28:27,31:33
