Unnamed: 0,KAN,OAK
First Downs,7,21
Rush-Yds-TDs,10-10-0,45-203-0
Cmp-Att-Yd-TD-INT,18-32-136-0-1,18-30-182-0-0
Sacked-Yards,4-27,0-0
Net Pass Yards,109,182
Total Yards,119,385
Fumbles-Lost,0-0,2-1
Turnovers,1,1
Penalties-Yards,7-60,5-62
Third Down Conv.,1-12,7-17
Fourth Down Conv.,0-3,0-0
Time of Possession,19:54,40:06
