Unnamed: 0_level_0,Unnamed: 1_level_0,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns
Player,Tm,Rt,Yds,Y/Rt,TD,Lng,Ret,Yds,Y/R,TD,Lng
Javier Arenas,KAN,0,0,,0,0,2,11,5.5,0,10
Devon Wylie,KAN,0,0,,0,0,1,13,13.0,0,13
Josh Bellamy,KAN,3,70,23.3,0,27,0,0,,0,0
