Quarter,Time,Down,ToGo,Location,ARI,TAM,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Cardinals won the coin toss, Cardinals to receive the opening kickoff.",,
1,15:00,,,TAM 30,0,0,"Matt Bryant kicks off 67 yards, returned by Steve Breaston for 35 yards (tackle by Ryan Nece). Penalty on Darryl Blackstock: Offensive Holding, 10 yards",0.000,-0.350
1,14:52,1,10,ARI 12,0,0,Kurt Warner pass complete short right to Anquan Boldin for 8 yards (tackle by Phillip Buchanon),-0.350,0.290
1,14:21,2,2,ARI 20,0,0,Kurt Warner pass complete deep left to Larry Fitzgerald for 47 yards,0.290,3.380
1,13:47,1,10,TAM 33,0,0,Edgerrin James up the middle for 2 yards (tackle by Cato June and Jovan Haye),3.380,3.110
1,13:10,2,8,TAM 31,0,0,Edgerrin James left guard for 2 yards (tackle by Gaines Adams),3.110,2.680
1,12:30,3,6,TAM 29,0,0,Kurt Warner pass incomplete deep middle intended for Jerheme Urban (defended by Jermaine Phillips),2.680,1.520
1,12:22,4,6,TAM 29,3,0,Neil Rackers 47 yard field goal good,1.520,3.000
1,,,,ARI 30,3,0,"Neil Rackers kicks off 69 yards, returned by Micheal Spurlock for 22 yards (tackle by Antrel Rolle)",0.000,0.480
1,12:08,1,10,TAM 23,3,0,Earnest Graham left guard for 1 yard (tackle by Antonio Smith),0.480,0.070
1,11:33,2,9,TAM 24,3,0,Earnest Graham right tackle for 11 yards (tackle by Bertrand Berry),0.070,1.270
1,10:47,,,,3,0,Timeout #1 by Tampa Bay Buccaneers,0.000,1.270
1,10:47,1,10,TAM 35,3,0,Earnest Graham left end for -2 yards (tackle by Gerald Hayes),1.270,0.450
1,10:12,2,12,TAM 33,3,0,Jeff Garcia pass complete short left to Joey Galloway for 8 yards (tackle by Calvin Pace),0.450,0.830
1,9:29,3,4,TAM 41,3,0,Jeff Garcia pass complete short middle to Ike Hilliard for 8 yards (tackle by Antrel Rolle),0.830,2.190
1,8:53,1,10,TAM 49,3,0,Jeff Garcia pass complete short left to Ike Hilliard for 7 yards (tackle by Eric Green),2.190,2.590
1,8:11,2,3,ARI 44,3,0,Earnest Graham right tackle for 2 yards (tackle by Calvin Pace),2.590,2.150
1,7:30,3,1,ARI 42,3,0,Jeff Garcia right end for 2 yards (tackle by Bertrand Berry),2.150,2.920
1,6:45,1,10,ARI 40,3,0,Earnest Graham right guard for 3 yards (tackle by Monty Beisel),2.920,2.780
1,6:06,2,7,ARI 37,3,6,"Jeff Garcia pass complete deep middle to Joey Galloway for 37 yards, touchdown",2.780,7.000
1,,,,ARI 2,3,7,Matt Bryant kicks extra point good,0.000,0.000
1,,,,TAM 30,3,7,"Matt Bryant kicks off 60 yards, returned by Steve Breaston for 19 yards (tackle by Kalvin Pearson)",0.000,0.870
1,5:48,1,10,ARI 29,3,7,Kurt Warner pass incomplete short left intended for Larry Fitzgerald (defended by Ronde Barber),0.870,0.330
1,5:43,2,10,ARI 29,3,7,J.J. Arrington left tackle for 2 yards (tackle by Chris Hovan and Kevin Carter),0.330,-0.100
1,4:59,3,8,ARI 31,3,7,Kurt Warner pass incomplete deep left intended for Larry Fitzgerald,-0.100,-1.310
1,4:52,4,8,ARI 31,3,7,Mike Barr punts 35 yards,-1.310,-1.200
1,4:45,1,10,TAM 34,3,7,Earnest Graham right end for 2 yards (tackle by Gerald Hayes),1.200,0.930
1,4:06,2,8,TAM 36,3,7,Jeff Garcia pass complete short middle to B.J. Askew for 7 yards (tackle by Monty Beisel),0.930,1.160
1,3:30,3,1,TAM 43,3,7,Earnest Graham up the middle for 2 yards (tackle by Darnell Dockett),1.160,1.930
1,2:45,1,10,TAM 45,3,7,"Jeff Garcia right end for 4 yards (tackle by Calvin Pace). Penalty on John Wade: Offensive Holding, 10 yards (no play)",1.930,1.270
1,2:12,1,20,TAM 35,3,7,Earnest Graham left end for 5 yards (tackle by Antrel Rolle and Monty Beisel),1.270,0.710
1,1:27,2,15,TAM 40,3,7,Earnest Graham up the middle for 8 yards (tackle by Antrel Rolle),0.710,1.090
1,0:45,3,7,TAM 48,3,7,Jeff Garcia pass incomplete deep middle intended for Ike Hilliard,1.090,-0.190
1,0:36,4,7,TAM 48,3,7,"Penalty on Calvin Pace: Defensive Offside, 5 yards (no play)",-0.190,0.130
1,0:35,4,2,ARI 47,3,7,Josh Bidwell punts 44 yards,0.130,0.380
1,0:25,1,10,ARI 3,3,7,Edgerrin James left tackle for 1 yard (tackle by Jovan Haye),-0.380,-0.710
Quarter,Time,Down,ToGo,Location,ARI,TAM,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,9,ARI 4,3,7,"Kurt Warner pass incomplete deep middle intended for Leonard Pope is intercepted by Tanard Jackson at ARI-32. Penalty on Leonard Pope: Face Mask (15 Yards), 15 yards",-0.710,-4.440
