Quarter,Time,Tm,Detail,ARI,TAM
1.0,12:17,Cardinals,Neil Rackers 47 yard field goal,3,0
,5:56,Buccaneers,Joey Galloway 37 yard pass from Jeff Garcia (Matt Bryant kick),3,7
2.0,13:37,Buccaneers,Matt Bryant 32 yard field goal,3,10
3.0,10:33,Buccaneers,Earnest Graham 2 yard rush (Matt Bryant kick),3,17
4.0,7:30,Cardinals,Edgerrin James 3 yard rush (Neil Rackers kick),10,17
