Unnamed: 0,ARI,TAM
First Downs,9,18
Rush-Yds-TDs,12-23-1,46-162-1
Cmp-Att-Yd-TD-INT,10-30-172-0-2,18-28-196-1-0
Sacked-Yards,0-0,3-8
Net Pass Yards,172,188
Total Yards,195,350
Fumbles-Lost,0-0,0-0
Turnovers,2,0
Penalties-Yards,8-64,9-70
Third Down Conv.,2-10,12-21
Fourth Down Conv.,0-0,0-0
Time of Possession,16:53,43:07
