Unnamed: 0,ARI,TEN
First Downs,22,17
Rush-Yds-TDs,33-136-1,22-86-1
Cmp-Att-Yd-TD-INT,21-32-289-4-1,22-36-218-1-1
Sacked-Yards,2-9,6-56
Net Pass Yards,280,162
Total Yards,416,248
Fumbles-Lost,1-0,2-2
Turnovers,1,3
Penalties-Yards,8-59,7-57
Third Down Conv.,7-13,5-14
Fourth Down Conv.,0-0,1-3
Time of Possession,33:21,26:39
