Quarter,Time,Tm,Detail,ARI,TEN
1.0,9:22,Cardinals,Matt Prater 34 yard field goal,3,0
,8:11,Cardinals,DeAndre Hopkins 5 yard pass from Kyler Murray (Matt Prater kick),10,0
2.0,10:59,Cardinals,DeAndre Hopkins 17 yard pass from Kyler Murray (Matt Prater kick),17,0
,6:50,Titans,Ryan Tannehill 1 yard rush (Michael Badgley kick failed),17,6
,1:44,Cardinals,Kyler Murray 2 yard rush (Matt Prater kick),24,6
3.0,12:55,Titans,A.J. Brown 13 yard pass from Ryan Tannehill (Michael Badgley kick),24,13
,10:40,Cardinals,Christian Kirk 26 yard pass from Kyler Murray (Matt Prater kick),31,13
,3:06,Cardinals,Christian Kirk 11 yard pass from Kyler Murray (Matt Prater kick),38,13
