Quarter,Time,Tm,Detail,TEN,TAM
1.0,13:10,Titans,Kendall Wright 52 yard pass from Marcus Mariota (Ryan Succop kick),7,0
,11:48,Titans,Coty Sensabaugh 26 yard interception return (Ryan Succop kick),14,0
,6:49,Titans,Bishop Sankey 12 yard pass from Marcus Mariota (Ryan Succop kick),21,0
2.0,14:54,Buccaneers,Austin Seferian-Jenkins 5 yard pass from Jameis Winston (Kyle Brindza kick),21,7
,3:47,Titans,Harry Douglas 4 yard pass from Marcus Mariota (Ryan Succop kick),28,7
,0:48,Titans,Delanie Walker 1 yard pass from Marcus Mariota (Ryan Succop kick),35,7
3.0,8:02,Titans,Bishop Sankey 1 yard rush (Ryan Succop kick),42,7
4.0,9:18,Buccaneers,Austin Seferian-Jenkins 41 yard pass from Jameis Winston (Kyle Brindza kick),42,14
