Quarter,Time,Down,ToGo,Location,DEN,CAR,Detail,EPB,EPA
2,4:58,3,3,DEN 32,6,7,Drew Lock pass complete short right to Troy Fumagalli for 4 yards (tackle by Juston Burris),0.300,1.330
2,4:17,1,10,DEN 36,6,7,Drew Lock pass complete short left to Tim Patrick for 2 yards (tackle by Jeremy Chinn),1.330,1.060
2,3:35,2,8,DEN 38,6,7,Drew Lock pass incomplete short right intended for Jerry Jeudy,1.060,0.370
2,3:31,3,8,DEN 38,6,7,"Drew Lock pass incomplete short right intended for Jerry Jeudy. Penalty on Brian Burns: Roughing the Passer, 15 yards (no play)",0.370,2.460
2,3:28,1,10,CAR 47,6,7,Drew Lock pass complete deep left to Jerry Jeudy for 31 yards (tackle by Rasul Douglas),2.460,4.510
2,2:40,1,10,CAR 16,6,7,Melvin Gordon right tackle for 4 yards (tackle by Bravvion Roy and Troy Pride),4.510,4.570
2,2:00,2,6,CAR 12,6,7,Drew Lock pass incomplete short right intended for Troy Fumagalli,4.570,3.730
2,1:55,3,6,CAR 12,6,7,Melvin Gordon right guard for 9 yards (tackle by Tre Boston),3.730,6.510
2,1:48,,,,,,Timeout #2 by Carolina Panthers,,
2,1:48,1,3,CAR 3,6,7,Melvin Gordon up the middle for -1 yards (tackle by Yetur Gross-Matos and Bravvion Roy),6.510,5.340
2,1:45,,,,,,Timeout #3 by Carolina Panthers,,
2,1:45,2,4,CAR 4,6,7,"Melvin Gordon right tackle for no gain (tackle by Jermaine Carter). Penalty on Jermaine Carter: Taunting, 2 yards",5.340,6.740
2,1:38,1,2,CAR 2,12,7,"Drew Lock pass complete short left to Nick Vannett for 2 yards, touchdown",6.740,7.000
2,1:33,,,CAR 15,13,7,Brandon McManus kicks extra point good,0.000,0.000
2,1:33,,,DEN 35,13,7,"Brandon McManus kicks off 65 yards, touchback.",0.000,0.610
2,1:33,1,10,CAR 25,13,7,Teddy Bridgewater pass incomplete deep middle intended for Brandon Zylstra,0.610,0.060
2,1:27,2,10,CAR 25,13,7,Teddy Bridgewater pass complete short left to Ian Thomas for 8 yards (tackle by Kareem Jackson),0.060,0.430
2,1:09,3,2,CAR 33,13,7,Teddy Bridgewater pass complete short left to Mike Davis for 18 yards (tackle by Alexander Johnson),0.430,2.320
2,0:48,1,10,DEN 49,13,7,Teddy Bridgewater pass incomplete short right intended for Brandon Zylstra. Penalty on Russell Okung: Offensive Holding (Offsetting) Penalty on DEN: Defensive Offside (Offsetting) (no play),2.320,2.320
2,0:44,1,10,DEN 49,13,7,Teddy Bridgewater sacked by Will Parks for -16 yards,2.320,-0.380
2,0:10,2,26,CAR 35,13,7,Teddy Bridgewater pass incomplete short left intended for Ian Thomas,-0.380,-1.020
2,0:05,3,26,CAR 35,13,7,Mike Davis left guard for 9 yards (tackle by Josey Jewell and Bradley Chubb),-1.020,-0.460
Quarter,Time,Down,ToGo,Location,DEN,CAR,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,DEN 35,13,7,"Brandon McManus kicks off 65 yards, touchback.",0.000,0.610
3,15:00,1,10,CAR 25,13,7,Teddy Bridgewater pass complete short left to Ian Thomas for 4 yards (tackle by Kareem Jackson),0.610,0.600
3,14:26,2,6,CAR 29,13,7,"Mike Davis left tackle for 1 yard (tackle by Josey Jewell). Penalty on John Miller: Offensive Holding, 10 yards",0.600,-0.610
3,14:03,2,15,CAR 20,13,7,Teddy Bridgewater pass complete short right to Curtis Samuel for no gain (tackle by Justin Simmons),-0.610,-1.290
3,13:23,3,15,CAR 20,13,7,Teddy Bridgewater pass incomplete short left intended for Robby Anderson,-1.290,-2.030
3,13:18,4,15,CAR 20,13,7,"Joseph Charlton punts 43 yards, fair catch by Diontae Spencer at DEN-37",-2.030,-1.400
3,13:11,1,10,DEN 37,13,7,Drew Lock pass complete short right to Jerry Jeudy for 11 yards (tackle by Juston Burris),1.400,2.130
3,12:38,1,10,DEN 48,13,7,Melvin Gordon right tackle for 15 yards (tackle by Jeremy Chinn),2.130,3.120
3,11:54,1,10,CAR 37,13,7,Phillip Lindsay up the middle for no gain (tackle by Yetur Gross-Matos),3.120,2.570
3,11:10,2,10,CAR 37,19,7,"Drew Lock pass complete deep right to KJ Hamler for 37 yards, touchdown",2.570,7.000
3,11:04,,,CAR 15,19,7,Brandon McManus kicks extra point no good wide left,0.000,-1.000
3,11:04,,,DEN 35,19,7,"Brandon McManus kicks off 65 yards, touchback.",0.000,0.610
3,11:04,1,10,CAR 25,19,7,Mike Davis left tackle for 3 yards (tackle by Bradley Chubb),0.610,0.470
3,10:21,2,7,CAR 28,19,7,Teddy Bridgewater pass incomplete short right intended for Mike Davis,0.470,-0.230
3,10:17,3,7,CAR 28,19,7,Teddy Bridgewater pass complete short left to Robby Anderson for 10 yards (tackle by Will Parks),-0.230,1.470
3,9:46,1,10,CAR 38,19,7,Teddy Bridgewater pass incomplete short right intended for Robby Anderson (defended by De'Vante Bausby),1.470,0.920
3,9:41,2,10,CAR 38,19,7,Mike Davis up the middle for 7 yards (tackle by Jeremiah Attaochu),0.920,1.160
3,8:57,3,3,CAR 45,19,7,Teddy Bridgewater pass complete short right to Robby Anderson for 21 yards (tackle by Kareem Jackson),1.160,3.310
3,8:20,1,10,DEN 34,19,7,Curtis Samuel right end for 12 yards (tackle by Kareem Jackson),3.310,4.110
3,7:45,1,10,DEN 22,19,7,Mike Davis left tackle for 5 yards (tackle by Michael Ojemudia),4.110,4.290
3,7:07,2,5,DEN 17,19,7,Teddy Bridgewater pass incomplete deep right intended for Robby Anderson,4.290,3.560
3,7:02,3,5,DEN 17,19,7,Teddy Bridgewater pass incomplete short left intended for Robby Anderson,3.560,2.360
3,6:57,4,5,DEN 17,19,10,Joey Slye 35 yard field goal good,2.360,3.000
3,6:53,,,CAR 35,19,10,"Joey Slye kicks off 65 yards, touchback.",0.000,0.610
3,6:53,1,10,DEN 25,19,10,Phillip Lindsay left guard for 2 yards (tackle by Donte Jackson),0.610,0.330
3,6:17,2,8,DEN 27,19,10,Drew Lock pass incomplete short left intended for Tim Patrick (defended by Donte Jackson),0.330,-0.360
3,6:10,3,8,DEN 27,19,10,Drew Lock pass complete short right to Troy Fumagalli for 14 yards (tackle by Austin Larkin),-0.360,1.660
3,5:33,1,10,DEN 41,19,10,Drew Lock pass complete deep left to Tim Patrick for 32 yards (tackle by Brian Burns),1.660,3.780
3,4:45,1,10,CAR 27,19,10,"Drew Lock aborted snap, recovered by Drew Lock at CAR-31 and returned for -4 yards",3.780,2.690
3,4:03,2,14,CAR 31,19,10,Drew Lock pass complete short left to Troy Fumagalli for 29 yards (tackle by Jeremy Chinn),2.690,6.740
3,3:41,1,2,CAR 2,25,10,"Drew Lock pass complete short left to Tim Patrick for 2 yards, touchdown",6.740,7.000
3,3:35,,,CAR 15,25,10,"Brandon McManus kicks extra point good. Penalty on Natrell Jamerson: Defensive Offside, 1 yard (no play)",0.000,1.000
3,3:35,,,CAR 1,25,10,"Two Point Attempt: Drew Lock pass incomplete intended for Nick Vannett, conversion fails. Penalty on Austin Schlottmann: Illegal Formation (Declined)",1.000,-1.000
3,3:35,,,DEN 35,25,10,"Brandon McManus kicks off 65 yards, touchback.",0.000,0.610
3,3:35,1,10,CAR 25,25,10,Teddy Bridgewater pass complete short left to Pharoh Cooper for 12 yards (tackle by Michael Ojemudia),0.610,1.400
3,2:54,1,10,CAR 37,25,10,Teddy Bridgewater pass complete short middle to Mike Davis for no gain (tackle by Alexander Johnson),1.400,0.860
3,2:11,2,10,CAR 37,25,10,Teddy Bridgewater pass complete short left to Rodney Smith for 9 yards (tackle by Josey Jewell),0.860,1.360
3,1:48,3,1,CAR 46,25,10,Rodney Smith up the middle for 6 yards (tackle by Justin Simmons),1.360,2.390
3,1:12,1,10,DEN 48,25,10,Teddy Bridgewater pass complete deep right to Curtis Samuel for 19 yards (tackle by Will Parks),2.390,3.640
3,0:29,1,10,DEN 29,25,10,Teddy Bridgewater pass complete deep right to Curtis Samuel for 17 yards (tackle by Justin Simmons),3.640,4.780
Quarter,Time,Down,ToGo,Location,DEN,CAR,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,DEN 12,25,10,Teddy Bridgewater pass complete short left to Curtis Samuel for 1 yard (tackle by Kareem Jackson),4.780,4.270
4,14:17,2,9,DEN 11,25,10,Mike Davis left guard for 4 yards (tackle by Shelby Harris),4.270,4.160
4,13:35,3,5,DEN 7,25,16,"Teddy Bridgewater up the middle for 7 yards, touchdown",4.160,7.000
4,13:31,,,DEN 15,25,17,Joey Slye kicks extra point good,0.000,0.000
4,13:31,,,CAR 35,25,17,"Joey Slye kicks off 65 yards, touchback.",0.000,0.610
4,13:31,1,10,DEN 25,25,17,Drew Lock pass incomplete deep left intended for KJ Hamler,0.610,0.060
4,13:25,2,10,DEN 25,25,17,Melvin Gordon right tackle for 11 yards (tackle by Juston Burris and Brian Burns),0.060,1.330
4,12:41,1,10,DEN 36,25,17,Melvin Gordon left end for 5 yards (tackle by Jermaine Carter),1.330,1.470
4,11:54,2,5,DEN 41,25,17,Drew Lock up the middle for 4 yards (tackle by Derrick Brown and Brian Burns),1.470,1.290
4,11:08,,,,,,Timeout #1 by Denver Broncos,,
4,11:08,3,1,DEN 45,25,17,Phillip Lindsay left tackle for -1 yards (tackle by Donte Jackson),1.290,-0.460
4,10:24,4,2,DEN 44,25,17,"Sam Martin punts 38 yards, returned by Pharoh Cooper for no gain (tackle by P.J. Locke)",-0.460,-0.040
4,10:15,1,10,CAR 18,25,17,Teddy Bridgewater pass complete short right to Robby Anderson for 2 yards (tackle by Justin Simmons),0.040,-0.130
4,9:33,2,8,CAR 20,25,17,Teddy Bridgewater pass complete short right to Curtis Samuel for 14 yards (tackle by Alexander Johnson),-0.130,1.200
4,8:54,1,10,CAR 34,25,17,Teddy Bridgewater pass complete short left to Robby Anderson for 8 yards (tackle by Michael Ojemudia),1.200,1.740
4,8:20,2,2,CAR 42,25,17,Teddy Bridgewater pass complete short right to Robby Anderson for 23 yards (tackle by De'Vante Bausby),1.740,3.250
4,7:50,1,10,DEN 35,25,17,Teddy Bridgewater pass complete deep left to Curtis Samuel for 16 yards (tackle by Michael Ojemudia),3.250,4.310
4,7:14,1,10,DEN 19,25,17,Curtis Samuel right end for 10 yards (tackle by Josey Jewell),4.310,5.140
4,6:43,1,9,DEN 9,25,17,Teddy Bridgewater pass complete short right to Alex Armah for no gain,5.140,4.380
4,6:14,2,9,DEN 9,25,17,Mike Davis right guard for 2 yards (tackle by Malik Reed and Alexander Johnson),4.380,3.810
4,5:27,3,7,DEN 7,25,17,"Penalty on Teddy Bridgewater: Delay of Game, 5 yards (no play)",3.810,3.100
4,5:26,3,12,DEN 12,25,17,Teddy Bridgewater pass complete short left to Robby Anderson for 4 yards (tackle by Will Parks). Penalty on Russell Okung: Offensive Holding (Declined),3.100,2.950
4,5:15,4,8,DEN 8,25,20,Joey Slye 26 yard field goal good,2.950,3.000
4,5:12,,,CAR 35,25,20,"Joey Slye kicks off 65 yards, touchback.",0.000,0.610
4,5:12,1,10,DEN 25,25,20,Drew Lock right end for 6 yards (tackle by Brian Burns),0.610,0.870
4,4:33,2,4,DEN 31,25,20,Drew Lock pass complete short right to Melvin Gordon for 20 yards (tackle by Juston Burris),0.870,2.320
4,4:02,1,10,CAR 49,31,20,"Drew Lock pass complete deep middle to KJ Hamler for 49 yards, touchdown",2.320,7.000
4,3:54,,,CAR 15,32,20,Brandon McManus kicks extra point good,0.000,0.000
4,3:54,,,DEN 35,32,20,"Brandon McManus kicks off 65 yards, touchback.",0.000,0.610
4,3:54,1,10,CAR 25,32,20,Teddy Bridgewater pass complete short right to Mike Davis for 20 yards (tackle by De'Vante Bausby),0.610,1.930
4,3:48,1,10,CAR 45,32,20,"Teddy Bridgewater pass incomplete short right intended for Robby Anderson (defended by De'Vante Bausby). Penalty on De'Vante Bausby: Defensive Pass Interference, 13 yards (no play)",1.930,2.790
4,3:43,1,10,DEN 42,32,20,Teddy Bridgewater pass complete deep left to Pharoh Cooper for 32 yards (tackle by Will Parks),2.790,4.910
4,3:34,1,10,DEN 10,32,20,Teddy Bridgewater pass incomplete short left intended for Curtis Samuel (defended by Dre'Mont Jones),4.910,4.190
4,3:30,2,10,DEN 10,32,26,"Mike Davis up the middle for 10 yards, touchdown",4.190,7.000
4,3:26,,,DEN 15,32,27,Joey Slye kicks extra point good,0.000,0.000
4,3:26,,,CAR 35,32,27,"Joey Slye kicks off 63 yards, returned by Diontae Spencer for 5 yards (tackle by Julian Stanford)",0.000,-0.380
4,3:24,1,10,DEN 7,32,27,Phillip Lindsay up the middle for 1 yard (tackle by Juston Burris),-0.380,-0.710
4,3:19,,,,,,Timeout #1 by Carolina Panthers,,
4,3:19,2,9,DEN 8,32,27,Phillip Lindsay up the middle for -4 yards (tackle by Jeremy Chinn and Yetur Gross-Matos),-0.710,-1.770
4,3:15,,,,,,Timeout #2 by Carolina Panthers,,
4,3:15,3,13,DEN 4,32,27,Drew Lock pass complete short right to Melvin Gordon for 1 yard (tackle by Jeremy Chinn and Troy Pride),-1.770,-2.490
4,3:00,,,,,,Timeout #3 by Carolina Panthers,,
4,3:00,4,12,DEN 5,32,27,"Sam Martin punts 58 yards, returned by Pharoh Cooper for no gain (tackle by Jeremiah Attaochu). Penalty on Natrell Jamerson: Offensive Holding, 10 yards",-2.490,-0.740
4,2:48,1,10,CAR 27,32,27,Teddy Bridgewater sacked by Dre'Mont Jones for -6 yards,0.740,-0.610
4,2:21,2,16,CAR 21,32,27,Teddy Bridgewater pass complete short middle to Pharoh Cooper for 8 yards (tackle by De'Vante Bausby),-0.610,-0.230
4,2:01,3,8,CAR 29,32,27,Teddy Bridgewater pass incomplete short left,-0.230,-1.440
4,1:56,4,8,CAR 29,32,27,Teddy Bridgewater pass complete short left to Curtis Samuel for 1 yard (tackle by De'Vante Bausby),-1.440,-3.580
4,1:50,1,10,CAR 30,32,27,Drew Lock kneels for -2 yards,3.580,2.760
4,1:09,2,12,CAR 32,32,27,Drew Lock kneels for -2 yards,2.760,1.820
4,0:28,3,14,CAR 34,32,27,Drew Lock kneels for -2 yards,1.820,0.880
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
