Quarter,Time,Tm,Detail,DEN,CAR
1.0,10:18,Broncos,Diontae Spencer 83 yard punt return (Brandon McManus kick failed),6,0
2.0,6:15,Panthers,Mike Davis 3 yard rush (Joey Slye kick),6,7
,1:33,Broncos,Nick Vannett 2 yard pass from Drew Lock (Brandon McManus kick),13,7
3.0,11:04,Broncos,KJ Hamler 37 yard pass from Drew Lock (Brandon McManus kick failed),19,7
,6:53,Panthers,Joey Slye 35 yard field goal,19,10
,3:35,Broncos,Tim Patrick 2 yard pass from Drew Lock (pass failed),25,10
4.0,13:31,Panthers,Teddy Bridgewater 7 yard rush (Joey Slye kick),25,17
,5:12,Panthers,Joey Slye 26 yard field goal,25,20
,3:54,Broncos,KJ Hamler 49 yard pass from Drew Lock (Brandon McManus kick),32,20
,3:26,Panthers,Mike Davis 10 yard rush (Joey Slye kick),32,27
