Quarter,Time,Tm,Detail,BUF,CHI
1.0,9:41,Bears,Dante Pettis 6 yard pass from Justin Fields (Cairo Santos kick),0,7
,6:22,Bills,Gabriel Davis 19 yard pass from Josh Allen (Tyler Bass kick failed),6,7
2.0,3:21,Bears,Cairo Santos 37 yard field goal,6,10
3.0,10:51,Bills,Devin Singletary 33 yard rush (Khalil Shakir pass from Josh Allen),14,10
,7:57,Bills,James Cook 27 yard rush (Tyler Bass kick),21,10
4.0,10:19,Bears,Cairo Santos 35 yard field goal,21,13
,3:45,Bills,Josh Allen 4 yard rush (Tyler Bass kick),28,13
,1:02,Bills,Dawson Knox 13 yard pass from Josh Allen (Tyler Bass kick),35,13
