Unnamed: 0,BUF,CHI
First Downs,20,11
Rush-Yds-TDs,31-254-3,29-80-0
Cmp-Att-Yd-TD-INT,15-26-172-2-2,18-28-144-1-1
Sacked-Yards,1-0,2-15
Net Pass Yards,172,129
Total Yards,426,209
Fumbles-Lost,3-1,2-1
Turnovers,3,2
Penalties-Yards,9-72,2-15
Third Down Conv.,6-11,2-12
Fourth Down Conv.,1-1,1-4
Time of Possession,28:48,31:12
