Unnamed: 0,HOU,CLE
First Downs,16,20
Rush-Yds-TDs,22-90-0,41-231-1
Cmp-Att-Yd-TD-INT,20-30-163-1-0,12-20-132-0-0
Sacked-Yards,2-10,1-7
Net Pass Yards,153,125
Total Yards,243,356
Fumbles-Lost,0-0,1-0
Turnovers,0,0
Penalties-Yards,6-49,6-63
Third Down Conv.,7-14,6-12
Fourth Down Conv.,0-1,0-1
Time of Possession,26:40,33:20
