Quarter,Time,Tm,Detail,HOU,CLE
1.0,8:27,Browns,Cody Parkey 41 yard field goal,0,3
4.0,13:32,Browns,Nick Chubb 9 yard rush (Cody Parkey kick),0,10
,4:59,Texans,Pharaoh Brown 16 yard pass from Deshaun Watson (Ka'imi Fairbairn kick),7,10
