Unnamed: 0,SFO,PHI
First Downs,14,19
Rush-Yds-TDs,24-94-0,31-112-1
Cmp-Att-Yd-TD-INT,17-36-167-1-2,18-32-211-2-1
Sacked-Yards,4-23,3-19
Net Pass Yards,144,192
Total Yards,238,304
Fumbles-Lost,0-0,0-0
Turnovers,2,1
Penalties-Yards,6-69,4-35
Third Down Conv.,3-15,4-14
Fourth Down Conv.,0-0,1-1
Time of Possession,27:03,32:57
