Quarter,Time,Down,ToGo,Location,SFO,PHI,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Eagles won the coin toss and deferred, 49ers to receive the opening kickoff.",,
1,15:00,,,PHI 35,0,0,"Jake Elliott kicks off 65 yards, touchback",0.000,-0.610
1,15:00,1,10,SFO 25,0,0,Carlos Hyde right end for no gain (tackle by Mychal Kendricks and Fletcher Cox),0.610,0.060
1,14:37,2,10,SFO 25,0,0,C.J. Beathard pass complete short right to Garrett Celek for 24 yards (tackle by Nigel Bradham and Joe Walker),0.060,2.190
1,14:00,1,10,SFO 49,0,0,C.J. Beathard pass incomplete short right intended for Garrett Celek,2.190,1.650
1,13:55,2,10,SFO 49,0,0,Matt Breida right end for -1 yards (tackle by Jalen Mills),1.650,0.830
1,13:24,3,11,SFO 48,0,0,"C.J. Beathard pass complete short right to Carlos Hyde for 2 yards (tackle by Jalen Mills). Penalty on Derek Barnett: Defensive Offside, 5 yards (no play)",0.830,1.490
1,12:57,3,6,PHI 47,0,0,C.J. Beathard pass incomplete short middle intended for Carlos Hyde (defended by Malcolm Jenkins),1.490,0.130
1,12:51,4,6,PHI 47,0,0,"Bradley Pinion punts 47 yards, touchback",0.130,-0.280
1,12:42,1,10,PHI 20,0,0,LeGarrette Blount left tackle for 3 yards (tackle by Leger Douzable),0.280,0.140
1,12:19,2,7,PHI 23,0,0,LeGarrette Blount middle for 6 yards (tackle by Solomon Thomas),0.140,0.230
1,11:56,3,1,PHI 29,0,0,LeGarrette Blount middle for 4 yards (tackle by Jimmie Ward and Brock Coyle),0.230,1.140
1,11:21,1,10,PHI 33,0,0,Carson Wentz pass complete short middle to Nelson Agholor for 17 yards (tackle by Jimmie Ward),1.140,2.260
1,10:58,1,10,,0,0,Carson Wentz pass complete short right to Nelson Agholor for 4 yards (tackle by Ahkello Witherspoon),2.260,2.250
1,10:32,2,6,SFO 46,0,0,Carson Wentz pass incomplete short right intended for Torrey Smith,2.250,1.550
1,10:26,3,6,SFO 46,0,0,"Penalty on Lane Johnson: False Start, 5 yards (no play)",1.550,0.890
1,10:26,3,11,PHI 49,0,0,Carson Wentz middle for 1 yard (tackle by DeForest Buckner and Solomon Thomas),0.890,-0.060
1,9:49,4,10,,0,0,"Donnie Jones punts 50 yards, touchback",-0.060,-0.280
1,9:44,1,10,SFO 20,0,0,Carlos Hyde left tackle for -1 yards (tackle by Vinny Curry),0.280,-0.460
1,9:06,2,11,SFO 19,0,0,C.J. Beathard pass incomplete short right intended for Marquise Goodwin,-0.460,-1.140
1,9:02,3,11,SFO 19,0,0,C.J. Beathard pass complete short left to Matt Breida for 9 yards (tackle by Jaylen Watkins),-1.140,-1.500
1,8:32,4,2,SFO 28,0,0,"Bradley Pinion punts 46 yards, fair catch by Kenjon Barner",-1.500,-0.670
1,8:26,1,10,PHI 26,0,0,Carson Wentz pass incomplete short left intended for Alshon Jeffery (defended by Dontae Johnson),0.670,0.130
1,8:22,2,10,PHI 26,0,0,Carson Wentz right end for 6 yards (tackle by Eric Reid),0.130,0.230
1,7:39,3,4,PHI 32,0,0,Carson Wentz pass complete short left to Zach Ertz for 12 yards (tackle by Brock Coyle),0.230,1.860
1,6:55,1,10,PHI 44,0,0,Carson Wentz pass complete short left to Kenjon Barner for 7 yards (tackle by Dontae Johnson),1.860,2.260
1,6:31,2,3,SFO 49,0,0,"Carson Wentz sacked by Solomon Thomas for 0 yards. Penalty on Solomon Thomas: Defensive Offside, 5 yards (no play)",2.260,2.650
1,6:05,1,10,SFO 44,0,0,LeGarrette Blount left end for 4 yards (tackle by DeForest Buckner),2.650,2.650
1,5:23,2,6,SFO 40,0,0,LeGarrette Blount right end for 1 yard (tackle by Leger Douzable),2.650,2.080
1,4:46,3,5,SFO 39,0,0,Carson Wentz pass complete short middle to Trey Burton for 15 yards (tackle by Jimmie Ward),2.080,3.970
1,4:05,1,10,SFO 24,0,0,Corey Clement left end for -3 yards (tackle by Tony McDaniel),3.970,3.030
1,3:27,2,13,SFO 27,0,0,Carson Wentz pass complete short left to Nelson Agholor for 5 yards (tackle by Jaquiski Tartt),3.030,3.010
1,2:46,3,8,SFO 22,0,0,Carson Wentz pass incomplete deep right intended for Alshon Jeffery,3.010,1.990
1,2:41,4,8,SFO 22,0,3,Jake Elliott 40 yard field goal good,1.990,3.000
1,2:36,,,PHI 35,0,3,"Jake Elliott kicks off 65 yards, touchback",0.000,-0.610
1,2:35,1,10,SFO 25,0,3,C.J. Beathard pass incomplete short left intended for Marquise Goodwin,0.610,0.060
1,2:33,2,10,SFO 25,0,3,Carlos Hyde middle for 8 yards (tackle by Malcolm Jenkins),0.060,0.430
1,1:52,3,2,SFO 33,0,3,C.J. Beathard pass incomplete short left intended for Carlos Hyde (defended by Nigel Bradham),0.430,-1.180
1,1:47,4,2,SFO 33,0,3,Bradley Pinion punts 57 yards,-1.180,0.380
1,1:33,1,10,PHI 10,0,3,LeGarrette Blount left end for 7 yards (tackle by Brock Coyle and Jaquiski Tartt),-0.380,-0.090
1,0:51,2,3,PHI 17,0,3,Carson Wentz sacked by Earl Mitchell for -6 yards,-0.090,-1.300
1,0:04,3,9,PHI 11,0,3,Carson Wentz pass incomplete deep right intended for Alshon Jeffery,-1.300,-2.490
Quarter,Time,Down,ToGo,Location,SFO,PHI,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,4,9,PHI 11,0,3,"Donnie Jones punts 40 yards, returned by Trent Taylor for 7 yards (tackle by Najee Goode)",-2.490,-2.650
2,14:51,1,10,PHI 44,0,3,Carlos Hyde left end for -2 yards (tackle by Patrick Robinson),2.650,1.840
2,14:08,2,12,PHI 46,0,3,C.J. Beathard pass complete short left to Carlos Hyde for 7 yards (tackle by Vinny Curry),1.840,2.080
2,13:23,3,5,PHI 39,0,3,Carlos Hyde right end for 2 yards (tackle by Patrick Robinson and Nigel Bradham),2.080,0.790
2,12:59,4,3,PHI 37,0,3,Bradley Pinion punts 35 yards,0.790,0.380
2,12:49,1,10,PHI 2,0,3,LeGarrette Blount middle for no gain (tackle by Jaquiski Tartt),-0.380,-0.780
2,12:06,2,10,PHI 2,0,3,Carson Wentz pass complete short right to Alshon Jeffery for 9 yards (tackle by Ahkello Witherspoon),-0.780,-0.370
2,11:28,3,1,PHI 11,0,3,LeGarrette Blount right tackle for -3 yards. Penalty on Alshon Jeffery: Illegal Formation (Declined),-0.370,-2.490
2,11:16,4,4,PHI 8,0,3,"Donnie Jones punts 44 yards. Penalty on Rashard Robinson: Illegal Block Above the Waist, 10 yards",-2.490,-1.470
2,11:04,1,10,SFO 38,0,3,Kyle Juszczyk middle for 12 yards (tackle by Rodney McLeod),1.470,2.260
2,10:31,1,10,,0,3,C.J. Beathard pass complete short left to Pierre Garcon for 4 yards (tackle by Mychal Kendricks),2.260,2.250
2,9:47,2,6,PHI 46,0,3,C.J. Beathard pass incomplete short left intended for Aldrick Robinson is intercepted by Rodney McLeod at PHI-42 and returned for 4 yards,2.250,-1.990
2,9:41,1,10,PHI 46,0,3,Carson Wentz sacked by Leger Douzable for -6 yards,1.990,0.640
2,8:56,2,16,PHI 40,0,3,LeGarrette Blount left end for no gain (tackle by Leger Douzable),0.640,-0.030
2,8:13,3,16,PHI 40,0,3,Carson Wentz pass complete short right to Kenjon Barner for 4 yards (tackle by Eric Reid),-0.030,-0.460
2,7:32,4,12,PHI 44,0,3,"Donnie Jones punts 43 yards, fair catch by Trent Taylor",-0.460,0.320
2,7:25,1,10,SFO 13,0,3,Carlos Hyde left tackle for 12 yards (tackle by Rodney McLeod),-0.320,0.610
