Unnamed: 0,STL,PHI
First Downs,29,22
Rush-Yds-TDs,23-125-1,33-145-0
Cmp-Att-Yd-TD-INT,29-49-375-3-0,24-37-207-2-1
Sacked-Yards,4-34,0-0
Net Pass Yards,341,207
Total Yards,466,352
Fumbles-Lost,3-3,2-2
Turnovers,3,3
Penalties-Yards,10-82,4-39
Third Down Conv.,7-14,8-15
Fourth Down Conv.,0-1,0-0
Time of Possession,32:59,27:01
