Unnamed: 0,TEN,WAS
First Downs,15,17
Rush-Yds-TDs,32-105-2,17-43-0
Cmp-Att-Yd-TD-INT,15-25-181-1-0,25-38-359-2-1
Sacked-Yards,5-45,3-17
Net Pass Yards,136,342
Total Yards,241,385
Fumbles-Lost,0-0,3-0
Turnovers,0,1
Penalties-Yards,8-69,9-71
Third Down Conv.,4-14,1-11
Fourth Down Conv.,1-1,1-2
Time of Possession,32:40,27:20
