Unnamed: 0,DET,MIN
First Downs,16,18
Rush-Yds-TDs,19-74-0,28-121-1
Cmp-Att-Yd-TD-INT,21-41-167-1-4,20-30-196-0-1
Sacked-Yards,0-0,3-10
Net Pass Yards,167,186
Total Yards,241,307
Fumbles-Lost,1-0,2-1
Turnovers,4,2
Penalties-Yards,5-50,11-95
Third Down Conv.,5-13,4-13
Fourth Down Conv.,0-0,2-2
Time of Possession,26:11,33:49
