Unnamed: 0,MIN,LAC
First Downs,18,17
Rush-Yds-TDs,37-137-2,19-62-0
Cmp-Att-Yd-TD-INT,19-25-207-1-1,28-39-307-1-3
Sacked-Yards,0-0,3-24
Net Pass Yards,207,283
Total Yards,344,345
Fumbles-Lost,2-0,5-4
Turnovers,1,7
Penalties-Yards,5-41,5-48
Third Down Conv.,7-14,6-11
Fourth Down Conv.,0-0,1-2
Time of Possession,32:21,27:39
