Quarter,Time,Down,ToGo,Location,MIN,LAC,Detail,EPB,EPA
1,8:30,2,10,LAC 15,6,0,Philip Rivers pass incomplete short middle intended for Melvin Gordon (defended by Shamar Stephen),-0.710,-1.370
1,8:25,3,10,LAC 15,6,0,Philip Rivers pass complete deep middle to Mike Williams for 19 yards (tackle by Mackensie Alexander),-1.370,1.200
1,7:42,1,10,LAC 34,6,0,Philip Rivers pass complete short right to Keenan Allen for -2 yards (tackle by Trae Waynes),1.200,0.390
1,6:58,2,12,LAC 32,6,0,Philip Rivers pass incomplete short right intended for Melvin Gordon,0.390,-0.300
1,6:54,3,12,LAC 32,6,0,Philip Rivers pass complete deep left to Mike Williams for 39 yards (tackle by Mike Hughes),-0.300,3.640
1,6:05,1,10,MIN 29,6,0,Philip Rivers pass complete short middle to Keenan Allen for 6 yards (tackle by Harrison Smith and Everson Griffen),3.640,3.910
1,5:27,2,4,MIN 23,6,0,Austin Ekeler left end for no gain (tackle by Eric Kendricks),3.910,3.200
1,4:45,3,4,MIN 23,6,0,Philip Rivers pass incomplete deep left intended for Austin Ekeler,3.200,2.000
1,4:40,4,4,MIN 23,6,3,Michael Badgley 41 yard field goal good,2.000,3.000
1,4:35,,,LAC 35,6,3,"Ty Long kicks off 64 yards, returned by Ameer Abdullah for 25 yards (tackle by Brandon Facyson)",0.000,0.670
1,4:29,1,10,MIN 26,6,3,Dalvin Cook left end for no gain (tackle by Melvin Ingram),0.670,0.130
1,4:07,2,10,MIN 26,6,3,Kirk Cousins pass incomplete short left intended for Ameer Abdullah (defended by Michael Davis),0.130,-0.560
1,4:03,3,10,MIN 26,6,3,Kirk Cousins pass complete deep middle to Stefon Diggs for 19 yards (tackle by Michael Davis),-0.560,1.930
1,3:31,1,10,MIN 45,6,3,"Kirk Cousins aborted snap, recovered by Kirk Cousins at MIN-43 and returned for -2 yards",1.930,1.110
1,2:55,2,12,MIN 43,6,3,Dalvin Cook up the middle for 6 yards (tackle by Derwin James and Melvin Ingram),1.110,1.220
1,2:26,3,6,MIN 49,6,3,Kirk Cousins pass incomplete short left intended for Stefon Diggs (defended by Michael Davis),1.220,-0.130
1,2:22,4,6,MIN 49,6,3,Britton Colquitt punts 47 yards downed by Ameer Abdullah,-0.130,0.380
1,2:12,1,10,LAC 4,6,3,Melvin Gordon right tackle for 7 yards (tackle by Danielle Hunter and Anthony Harris),-0.380,-0.270
1,1:34,2,3,LAC 11,6,3,"Melvin Gordon right end for no gain (tackle by Danielle Hunter). Melvin Gordon fumbles (forced by Danielle Hunter), recovered by Harrison Smith at LAC-11 (tackle by Melvin Gordon)",-0.270,-4.840
1,1:26,1,10,LAC 11,6,3,Dalvin Cook right guard for 3 yards (tackle by Melvin Ingram),4.840,4.700
1,0:48,2,7,LAC 8,6,3,Dalvin Cook up the middle for 1 yard (tackle by Justin Jones),4.700,3.980
1,0:05,3,6,LAC 7,6,3,Kirk Cousins pass incomplete short left,3.980,2.980
Quarter,Time,Down,ToGo,Location,MIN,LAC,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,4,6,LAC 7,9,3,Dan Bailey 26 yard field goal good,2.980,3.000
2,14:57,,,MIN 35,9,3,"Dan Bailey kicks off 65 yards, touchback.",0.000,0.610
2,14:57,1,10,LAC 25,9,3,Melvin Gordon left guard for 2 yards (tackle by Danielle Hunter and Eric Kendricks),0.610,0.330
2,14:10,2,8,LAC 27,9,3,Austin Ekeler right guard for 1 yard (tackle by Linval Joseph and Eric Kendricks),0.330,-0.230
2,13:25,3,7,LAC 28,9,3,Philip Rivers pass complete deep right to Keenan Allen for 19 yards,-0.230,2.060
2,12:53,1,10,LAC 47,9,3,Philip Rivers sacked by Jaleel Johnson for -9 yards,2.060,0.300
2,12:06,2,19,LAC 38,9,3,Philip Rivers pass complete short left to Mike Williams for 11 yards (tackle by Xavier Rhodes),0.300,1.090
2,11:20,3,8,LAC 49,9,3,Philip Rivers pass complete short middle to Keenan Allen for 14 yards (tackle by Anthony Harris),1.090,3.120
2,10:37,1,10,MIN 37,9,3,Philip Rivers pass complete deep left to Austin Ekeler for 27 yards (tackle by Mike Hughes),3.120,4.910
2,10:02,1,10,MIN 10,9,3,Philip Rivers pass complete short right to Melvin Gordon for 6 yards (tackle by Eric Kendricks),4.910,5.340
2,9:24,2,4,MIN 4,9,3,Melvin Gordon up the middle for 2 yards (tackle by Harrison Smith),5.340,4.950
2,8:46,3,2,MIN 2,9,9,"Philip Rivers pass complete short left to Mike Williams for 2 yards, touchdown",4.950,7.000
2,8:42,,,MIN 15,9,10,Michael Badgley kicks extra point good,0.000,0.000
2,8:42,,,LAC 35,9,10,"Ty Long kicks off 65 yards, touchback.",0.000,0.610
2,8:42,1,10,MIN 25,9,10,"Penalty on Stefon Diggs: False Start, 5 yards (no play)",0.610,0.280
2,8:42,1,15,MIN 20,9,10,Kirk Cousins pass complete deep middle to Olabisi Johnson for 19 yards (tackle by Casey Hayward),0.280,1.530
2,8:02,1,10,MIN 39,9,10,"Kirk Cousins aborted snap, recovered by Kirk Cousins at MIN-38 and returned for -1 yards",1.530,0.850
2,7:28,2,11,MIN 38,9,10,Kirk Cousins pass complete short right to Dalvin Cook for 4 yards (tackle by Derwin James),0.850,0.700
2,6:55,3,7,MIN 42,9,10,Kirk Cousins pass complete short left to Adam Thielen for 13 yards (tackle by Adrian Phillips),0.700,2.590
2,6:13,1,10,LAC 45,9,10,"Kirk Cousins pass incomplete deep left intended for Laquon Treadwell. Penalty on Michael Davis: Defensive Holding, 5 yards (no play)",2.590,2.920
2,6:05,1,10,LAC 40,9,10,Kirk Cousins pass incomplete deep left intended for Stefon Diggs,2.920,2.370
2,6:01,2,10,LAC 40,9,10,Kirk Cousins pass complete short left to Dalvin Cook for 11 yards (tackle by Derwin James),2.370,3.640
2,5:51,1,10,LAC 29,9,10,Kirk Cousins pass complete short middle to C.J. Ham for 1 yard (tackle by Justin Jones),3.640,3.240
2,5:09,2,9,LAC 28,9,10,Mike Boone right tackle for 2 yards (tackle by Joey Bosa),3.240,2.810
2,4:29,3,7,LAC 26,9,10,Kirk Cousins pass incomplete deep left intended for Irv Smith Jr. (defended by Jaylen Watkins),2.810,1.740
2,4:22,4,7,LAC 26,12,10,Dan Bailey 44 yard field goal good,1.740,3.000
2,4:17,,,MIN 35,12,10,"Dan Bailey kicks off 65 yards, touchback.",0.000,0.610
2,4:17,1,10,LAC 25,12,10,Austin Ekeler right end for 11 yards (tackle by Harrison Smith),0.610,1.330
2,3:41,1,10,LAC 36,12,10,"Austin Ekeler left end for 6 yards (tackle by Shamar Stephen). Penalty on Hunter Henry: Offensive Holding, 10 yards (no play)",1.330,0.670
2,3:13,1,20,LAC 26,12,10,"Philip Rivers pass complete short right to Austin Ekeler for 6 yards (tackle by Trae Waynes). Austin Ekeler fumbles, ball out of bounds at LAC-32 (forced by Trae Waynes)",0.670,0.250
2,2:51,2,14,LAC 32,12,10,Philip Rivers pass complete short right to Justin Jackson for -3 yards (tackle by Anthony Barr),0.250,-0.820
2,2:06,3,17,LAC 29,12,10,Philip Rivers pass deep middle intended for Mike Williams is intercepted by Harrison Smith at LAC-49 and returned for no gain,-0.820,-2.320
2,1:58,1,10,LAC 49,12,10,Kirk Cousins pass complete short middle to Irv Smith Jr. for 7 yards (tackle by Drue Tranquill and Rayshawn Jenkins),2.320,2.730
2,1:27,2,3,LAC 42,12,10,Dalvin Cook left end for 8 yards (tackle by Drue Tranquill),2.730,3.310
2,1:05,1,10,LAC 34,12,10,Kirk Cousins pass complete short left to Stefon Diggs for 5 yards,3.310,3.450
2,1:02,2,5,LAC 29,12,10,Kirk Cousins pass short left intended for Ameer Abdullah is intercepted by Melvin Ingram at LAC-34 and returned for 9 yards,3.450,-1.800
2,0:51,1,10,LAC 43,12,10,Austin Ekeler right end for 1 yard (tackle by Danielle Hunter),1.800,1.390
2,0:45,,,,,,Timeout #1 by Los Angeles Chargers,,
2,0:45,2,9,LAC 44,12,10,Philip Rivers pass complete short left to Keenan Allen for 11 yards (tackle by Mike Hughes),1.390,2.590
2,0:40,1,10,MIN 45,12,10,Philip Rivers pass incomplete short left intended for Mike Williams (defended by Mike Hughes),2.590,2.040
2,0:35,2,10,MIN 45,12,10,Philip Rivers pass complete short left to Keenan Allen for 11 yards (tackle by Mike Hughes),2.040,3.310
2,0:29,1,10,MIN 34,12,10,Philip Rivers pass complete short right to Andre Patton for 8 yards (tackle by Eric Kendricks),3.310,3.850
2,0:23,,,,,,Timeout #2 by Los Angeles Chargers,,
2,0:23,2,2,MIN 26,18,10,"Philip Rivers sacked by Danielle Hunter for -12 yards. Philip Rivers fumbles (forced by Danielle Hunter), recovered by Ifeadi Odenigbo at MIN-44 and returned for 56 yards, touchdown",3.850,-7.000
2,0:07,,,LAC 15,19,10,Dan Bailey kicks extra point good,0.000,0.000
2,0:07,,,MIN 35,19,10,"Dan Bailey kicks off 65 yards, touchback.",0.000,0.610
2,0:07,1,10,LAC 25,19,10,Melvin Gordon up the middle for 12 yards (tackle by Ifeadi Odenigbo),0.610,1.400
Quarter,Time,Down,ToGo,Location,MIN,LAC,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,MIN 35,19,10,"Dan Bailey kicks off 65 yards, touchback.",0.000,0.610
3,15:00,1,10,LAC 25,19,10,"Philip Rivers pass complete short middle to Melvin Gordon for 5 yards (tackle by Shamar Stephen). Melvin Gordon fumbles (forced by Shamar Stephen), recovered by Danielle Hunter at LAC-30 and returned for 4 yards (tackle by Hunter Henry)",0.610,-3.840
3,14:52,1,10,LAC 26,19,10,Dalvin Cook left end for 7 yards (tackle by Brandon Mebane),3.840,4.270
3,14:03,2,3,LAC 19,19,10,Dalvin Cook right end for -3 yards (tackle by Denzel Perryman),4.270,3.140
3,13:41,3,6,LAC 22,19,10,"Penalty on Brian O'Neill: False Start, 5 yards (no play)",3.140,2.480
3,13:23,3,11,LAC 27,19,10,Kirk Cousins pass complete short middle to Adam Thielen for 7 yards (tackle by Drue Tranquill),2.480,2.200
3,12:41,4,4,LAC 20,22,10,Dan Bailey 38 yard field goal good,2.200,3.000
3,12:37,,,MIN 35,22,10,"Dan Bailey kicks off 65 yards, touchback.",0.000,0.610
3,12:37,1,10,LAC 25,22,10,Austin Ekeler right end for 5 yards (tackle by Trae Waynes),0.610,0.740
3,12:10,2,5,LAC 30,22,10,Austin Ekeler left end for -2 yards (tackle by Anthony Harris),0.740,-0.230
3,11:24,3,7,LAC 28,22,10,"Philip Rivers pass incomplete short right. Penalty on Philip Rivers: Intentional Grounding, 13 yards",-0.230,-2.440
3,11:20,4,20,LAC 15,22,10,Ty Long punts 26 yards downed by Nick Dzubnar,-2.440,-2.850
3,11:09,1,10,LAC 41,22,10,Mike Boone right tackle for 3 yards (tackle by Damion Square),2.850,2.710
3,10:34,2,7,LAC 38,22,10,Kirk Cousins pass complete short right to Stefon Diggs for 6 yards (tackle by Michael Davis),2.710,2.810
3,9:59,3,1,LAC 32,22,10,Kirk Cousins left end for 14 yards (tackle by Thomas Davis),2.810,4.370
3,9:16,1,10,LAC 18,22,10,Mike Boone right tackle for 5 yards (tackle by Melvin Ingram),4.370,4.610
3,8:38,2,5,LAC 13,22,10,Mike Boone right end for 2 yards (tackle by Denzel Perryman),4.610,4.260
3,7:57,3,3,LAC 11,22,10,Kirk Cousins pass complete short left to C.J. Ham for 2 yards (tackle by Derwin James),4.260,2.980
3,7:10,4,1,LAC 9,25,10,Dan Bailey 27 yard field goal good,2.980,3.000
3,7:06,,,MIN 35,25,10,"Dan Bailey kicks off 56 yards, returned by Troymaine Pope for 14 yards (tackle by Kris Boyd)",0.000,0.480
3,7:01,1,10,LAC 23,25,10,Philip Rivers pass complete short right to Austin Ekeler for 7 yards (tackle by Holton Hill),0.480,0.880
3,6:17,2,3,LAC 30,25,10,Justin Jackson left end for 3 yards (tackle by Eric Kendricks),0.880,1.140
3,5:39,1,10,LAC 33,25,10,Philip Rivers pass complete short right to Justin Jackson for 5 yards (tackle by Holton Hill),1.140,1.270
3,4:56,2,5,LAC 38,25,10,Philip Rivers pass incomplete deep right intended for Austin Ekeler,1.270,0.560
3,4:48,3,5,LAC 38,25,10,Philip Rivers pass complete short right to Keenan Allen for 19 yards (tackle by Holton Hill),0.560,2.720
3,4:01,1,10,MIN 43,25,10,Justin Jackson right tackle for 5 yards (tackle by Anthony Barr),2.720,2.850
3,3:20,2,5,MIN 38,25,10,Justin Jackson right end for 4 yards (tackle by Anthony Harris and Eric Wilson),2.850,2.680
3,2:40,3,1,MIN 34,25,10,Justin Jackson left end for -1 yards (tackle by Harrison Smith and Anthony Barr),2.680,0.990
3,1:54,,,,,,Timeout #1 by Minnesota Vikings,,
3,1:54,4,2,MIN 35,25,10,Philip Rivers pass complete deep left to Hunter Henry for 24 yards (tackle by Harrison Smith),0.990,4.840
3,1:19,1,10,MIN 11,25,10,Justin Jackson right end for 4 yards (tackle by Mackensie Alexander),4.840,4.890
3,0:35,2,6,MIN 7,25,10,Philip Rivers pass incomplete short left intended for Keenan Allen,4.890,3.980
3,0:32,3,6,MIN 7,25,10,Philip Rivers sacked by Ifeadi Odenigbo for -3 yards,3.980,2.760
Quarter,Time,Down,ToGo,Location,MIN,LAC,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,4,9,MIN 10,25,10,"Penalty on Trenton Scott: False Start, 5 yards (no play)",2.760,2.440
4,15:00,4,14,MIN 15,25,10,Philip Rivers pass incomplete short left intended for Mike Williams,2.440,0.220
4,14:55,1,10,MIN 15,25,10,Kirk Cousins pass complete deep right to Kyle Rudolph for 22 yards (tackle by Michael Davis and Denzel Perryman),-0.220,1.400
4,14:15,1,10,MIN 37,25,10,Adam Thielen left end for 3 yards (tackle by Thomas Davis),1.400,1.260
4,13:39,2,7,MIN 40,25,10,Mike Boone left tackle for 10 yards (tackle by Derwin James),1.260,2.260
4,13:01,1,10,MIN 50,25,10,Mike Boone up the middle for 4 yards (tackle by Adrian Phillips),2.260,2.250
4,12:22,2,6,LAC 46,25,10,"Mike Boone left end for 9 yards (tackle by Kyzir White). Penalty on Tyler Conklin: Offensive Holding, 11 yards (no play)",2.250,0.770
4,12:00,2,17,MIN 43,25,10,Ameer Abdullah left end for 3 yards (tackle by Joey Bosa),0.770,0.500
4,11:22,3,14,MIN 46,25,10,Kirk Cousins pass complete deep left to Stefon Diggs for 46 yards (tackle by Rayshawn Jenkins),0.500,5.370
4,10:30,1,8,LAC 8,31,10,"Mike Boone up the middle for 8 yards, touchdown",5.370,7.000
4,10:25,,,LAC 15,32,10,Dan Bailey kicks extra point good,0.000,0.000
4,10:25,,,MIN 35,32,10,"Dan Bailey kicks off 65 yards, touchback.",0.000,0.610
4,10:25,1,10,LAC 25,32,10,"Philip Rivers pass complete short right to Hunter Henry for 5 yards (tackle by Eric Kendricks). Hunter Henry fumbles (forced by Eric Kendricks), recovered by Trae Waynes at LAC-30 and returned for 20 yards (tackle by Andre Patton)",0.610,-4.910
4,10:17,1,10,LAC 10,32,10,Mike Boone up the middle for 3 yards (tackle by Denzel Perryman),4.910,4.760
4,9:33,2,7,LAC 7,32,10,Mike Boone up the middle for 5 yards (tackle by Joey Bosa),4.760,4.950
4,8:48,,,,,,Timeout #2 by Minnesota Vikings,,
4,8:48,3,2,LAC 2,38,10,"Mike Boone up the middle for 2 yards, touchdown",4.950,7.000
4,8:45,,,LAC 15,39,10,Dan Bailey kicks extra point good,0.000,0.000
4,8:45,,,MIN 35,39,10,"Dan Bailey kicks off 69 yards, returned by Troymaine Pope for 34 yards (tackle by Cameron Smith)",0.000,0.940
4,8:37,1,10,LAC 30,39,10,Philip Rivers pass complete short left to Melvin Gordon for 8 yards,0.940,1.470
4,8:19,2,2,LAC 38,39,10,Philip Rivers pass complete short left to Keenan Allen for 13 yards (tackle by Anthony Barr),1.470,2.320
4,7:43,1,10,MIN 49,39,10,Austin Ekeler left guard for 3 yards (tackle by Armon Watts),2.320,2.190
4,7:20,2,7,MIN 46,39,10,Philip Rivers pass deep left intended for Mike Williams is intercepted by Mike Hughes at MIN-20 and returned for no gain,2.190,-0.280
4,7:12,1,10,MIN 20,39,10,Mike Boone right tackle for 5 yards (tackle by Joey Bosa),0.280,0.410
4,6:28,2,5,MIN 25,39,10,Mike Boone left tackle for no gain (tackle by Damion Square),0.410,-0.300
4,5:44,3,5,MIN 25,39,10,Ameer Abdullah right guard for 11 yards (tackle by Rayshawn Jenkins),-0.300,1.330
4,4:57,1,10,MIN 36,39,10,"C.J. Ham left end for 5 yards (tackle by Drue Tranquill). Penalty on Laquon Treadwell: Offensive Holding, 10 yards",1.330,1.000
4,4:49,1,15,MIN 31,39,10,"Mike Boone right guard for 7 yards (tackle by Derwin James). Penalty on Laquon Treadwell: Offensive Holding, 10 yards",1.000,0.810
4,4:41,1,18,MIN 28,39,10,Ameer Abdullah up the middle for 1 yard (tackle by Derwin James),0.810,-0.160
4,4:36,,,,,,Timeout #1 by Los Angeles Chargers,,
4,4:36,2,17,MIN 29,39,10,Ameer Abdullah up the middle for 5 yards (tackle by Brandon Facyson),-0.160,-0.160
4,4:32,,,,,,Timeout #2 by Los Angeles Chargers,,
4,4:32,3,12,MIN 34,39,10,Ameer Abdullah left tackle for 5 yards (tackle by Jerry Tillery),-0.160,-0.780
4,4:27,,,,,,Timeout #2 by Los Angeles Chargers,,
4,4:27,4,7,MIN 39,39,10,Britton Colquitt punts 56 yards downed by Kris Boyd,-0.780,0.380
4,4:13,1,10,LAC 5,39,10,Melvin Gordon up the middle for 5 yards (tackle by Stephen Weatherly),-0.380,-0.420
4,3:51,2,5,LAC 10,39,10,Philip Rivers pass complete short middle to Keenan Allen for 8 yards (tackle by Kris Boyd),-0.420,0.040
4,3:24,1,10,LAC 18,39,10,Philip Rivers pass complete short left to Melvin Gordon for 7 yards (tackle by Eric Wilson and Kris Boyd),0.040,0.550
4,2:56,2,3,LAC 25,39,10,Philip Rivers pass complete short middle to Melvin Gordon for 10 yards (tackle by Kentrell Brothers),0.550,1.270
4,2:31,1,10,LAC 35,39,10,Philip Rivers pass complete short left to Austin Ekeler for 7 yards (tackle by Jaleel Johnson),1.270,1.670
4,2:05,2,3,LAC 42,39,10,Philip Rivers pass complete short middle to Austin Ekeler for 15 yards (tackle by Kentrell Brothers),1.670,2.720
4,1:59,1,10,MIN 43,39,10,Philip Rivers pass deep middle intended for Mike Williams is intercepted by Anthony Harris at MIN-7 and returned for 7 yards,2.720,0.280
4,1:48,1,10,MIN 14,39,10,Sean Mannion kneels for -1 yards,-0.280,-0.850
4,1:06,2,11,MIN 13,39,10,Sean Mannion kneels for -1 yards,-0.850,-1.650
4,0:37,3,12,MIN 12,39,10,Sean Mannion kneels for -1 yards,-1.650,-2.490
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
