Quarter,Time,Tm,Detail,MIN,LAC
1.0,9:10,Vikings,Irv Smith Jr. 1 yard pass from Kirk Cousins (Dan Bailey kick failed),6,0
,4:35,Chargers,Michael Badgley 41 yard field goal,6,3
2.0,14:57,Vikings,Dan Bailey 26 yard field goal,9,3
,8:42,Chargers,Mike Williams 2 yard pass from Philip Rivers (Michael Badgley kick),9,10
,4:17,Vikings,Dan Bailey 44 yard field goal,12,10
,0:07,Vikings,Ifeadi Odenigbo 56 yard fumble return (Dan Bailey kick),19,10
3.0,12:37,Vikings,Dan Bailey 38 yard field goal,22,10
,7:06,Vikings,Dan Bailey 27 yard field goal,25,10
4.0,10:25,Vikings,Mike Boone 8 yard rush (Dan Bailey kick),32,10
,8:45,Vikings,Mike Boone 2 yard rush (Dan Bailey kick),39,10
