Quarter,Time,Down,ToGo,Location,DAL,OAK,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Cowboys won the coin toss, Raiders to receive the opening kickoff.",,
1,15:00,1,10,DAL 25,0,0,Alfred Morris right tackle for 5 yards (tackle by Marquel Lee and Treyvon Hester),0.610,0.740
1,14:16,2,5,DAL 30,0,0,Dak Prescott pass complete short left to Terrance Williams for 6 yards (tackle by Dexter McDonald),0.740,1.330
1,13:41,1,10,DAL 36,0,0,Alfred Morris middle for 5 yards (tackle by T.J. Carrie),1.330,1.470
1,13:00,2,5,DAL 41,0,0,"Dak Prescott pass complete short left to Terrance Williams for 11 yards (tackle by Dexter McDonald). Penalty on Terrance Williams: Offensive Pass Interference, 10 yards (no play)",1.470,0.120
1,12:39,2,15,DAL 31,0,0,Alfred Morris middle for 16 yards (tackle by Reggie Nelson and T.J. Carrie),0.120,2.060
1,12:00,1,10,DAL 47,0,0,Dak Prescott pass complete deep right to Jason Witten for 18 yards,2.060,3.250
1,11:35,1,10,OAK 35,0,0,Alfred Morris right tackle for no gain (tackle by NaVorro Bowman and Karl Joseph),3.250,2.700
1,10:56,2,10,OAK 35,0,0,Dak Prescott pass incomplete deep left intended for Jason Witten (defended by Nicholas Morrow),2.700,2.010
1,10:47,3,10,OAK 35,0,0,Dak Prescott pass incomplete short middle intended for Dez Bryant is intercepted by Sean Smith at OAK-22 and returned for 8 yards,2.010,-0.940
1,10:40,1,10,OAK 30,0,0,Marshawn Lynch left guard for 8 yards (tackle by Jourdan Lewis and Anthony Hitchens),0.940,1.470
1,10:02,2,2,OAK 38,0,0,Marshawn Lynch right tackle for -3 yards (tackle by Maliek Collins and Tyrone Crawford),1.470,0.370
1,9:17,3,5,OAK 35,0,0,Derek Carr pass incomplete short left intended for Michael Crabtree,0.370,-1.040
1,9:12,4,5,OAK 35,0,0,Marquette King punts 33 yards,-1.040,-1.070
1,9:04,1,10,DAL 32,0,0,Alfred Morris middle for 6 yards (tackle by Nicholas Morrow),1.070,1.340
1,8:34,2,4,DAL 38,0,0,Dak Prescott pass complete short left to Noah Brown for 8 yards (tackle by Dexter McDonald),1.340,1.990
1,8:16,1,10,DAL 46,0,0,Dak Prescott left tackle for 6 yards (tackle by Reggie Nelson),1.990,2.260
1,7:35,2,4,OAK 48,0,0,Alfred Morris left tackle for 7 yards (tackle by Karl Joseph and T.J. Carrie),2.260,2.850
1,6:54,1,10,OAK 41,0,0,Alfred Morris middle for 12 yards (tackle by Karl Joseph and Dexter McDonald),2.850,3.640
1,6:16,1,10,OAK 29,0,0,Rod Smith right end for -3 yards (tackle by Nicholas Morrow),3.640,2.700
1,5:38,2,13,OAK 32,0,0,Dak Prescott pass complete short left to Rod Smith for 5 yards (tackle by Reggie Nelson),2.700,2.680
1,5:07,3,8,OAK 27,0,0,Dak Prescott pass incomplete short middle intended for Terrance Williams,2.680,1.670
1,5:01,4,8,OAK 27,3,0,Dan Bailey 45 yard field goal good,1.670,3.000
1,4:56,,,DAL 35,3,0,"Dan Bailey kicks off 65 yards, touchback",0.000,-0.610
1,4:56,1,10,OAK 25,3,0,"Penalty on Maliek Collins: Neutral Zone Infraction, 5 yards (no play)",0.610,1.340
1,4:56,1,5,OAK 30,3,0,Derek Carr pass complete short right to Jared Cook for 4 yards (tackle by Sean Lee),1.340,1.280
1,4:23,2,1,OAK 34,3,0,Marshawn Lynch left tackle for -2 yards (tackle by Sean Lee and Anthony Hitchens). Penalty on Isaac Whitney: Illegal Formation (Declined),1.280,0.300
1,4:03,3,3,OAK 32,3,0,Derek Carr pass incomplete short right intended for Michael Crabtree,0.300,-1.240
1,4:00,4,3,OAK 32,3,0,"Marquette King punts 50 yards, returned by Ryan Switzer for 7 yards (tackle by Marquel Lee). Penalty on Johnny Holton: Illegal Block Above the Waist, 10 yards",-1.240,-1.270
1,3:49,1,10,DAL 35,3,0,Rod Smith middle for no gain (tackle by Justin Ellis),1.270,0.720
1,3:06,2,10,DAL 35,3,0,Dak Prescott pass complete short right to Terrance Williams for 5 yards (tackle by NaVorro Bowman),0.720,0.700
1,2:26,3,5,DAL 40,3,0,Dak Prescott pass complete short middle to Terrance Williams for 8 yards (tackle by Dexter McDonald),0.700,2.130
1,1:50,1,10,DAL 48,3,0,Dak Prescott pass complete deep left to James Hanna for 31 yards (tackle by Sean Smith and Reggie Nelson),2.130,4.170
1,0:59,1,10,OAK 21,3,0,Rod Smith middle for 3 yards (tackle by NaVorro Bowman and Nicholas Morrow),4.170,4.040
1,0:18,2,7,OAK 18,3,0,Dak Prescott pass complete short left to Rod Smith for 10 yards (tackle by T.J. Carrie and Nicholas Morrow),4.040,5.370
Quarter,Time,Down,ToGo,Location,DAL,OAK,Detail,EPB,EPA
