Quarter,Time,Tm,Detail,DAL,OAK
1.0,4:56,Cowboys,Dan Bailey 45 yard field goal,3,0
2.0,14:04,Cowboys,Rod Smith 1 yard rush (Dan Bailey kick),10,0
3.0,8:03,Raiders,Michael Crabtree 2 yard pass from Derek Carr (Giorgio Tavecchio kick),10,7
,6:14,Raiders,Giorgio Tavecchio 39 yard field goal,10,10
,0:45,Cowboys,Dak Prescott 5 yard rush (Dan Bailey kick),17,10
4.0,10:35,Raiders,Michael Crabtree 2 yard pass from Derek Carr (Giorgio Tavecchio kick),17,17
,1:44,Cowboys,Dan Bailey 19 yard field goal,20,17
