Unnamed: 0,DAL,OAK
First Downs,21,19
Rush-Yds-TDs,31-126-2,23-122-0
Cmp-Att-Yd-TD-INT,18-27-212-0-2,21-38-171-2-0
Sacked-Yards,2-8,0-0
Net Pass Yards,204,171
Total Yards,330,293
Fumbles-Lost,0-0,4-1
Turnovers,2,1
Penalties-Yards,7-100,14-105
Third Down Conv.,2-10,8-15
Fourth Down Conv.,2-2,0-0
Time of Possession,32:20,27:40
