Unnamed: 0,NOR,TAM
First Downs,18,28
Rush-Yds-TDs,26-92-1,28-110-2
Cmp-Att-Yd-TD-INT,22-30-245-1-0,28-51-363-1-3
Sacked-Yards,2-14,2-18
Net Pass Yards,231,345
Total Yards,323,455
Fumbles-Lost,1-1,1-0
Turnovers,1,3
Penalties-Yards,7-38,2-15
Third Down Conv.,6-12,13-18
Fourth Down Conv.,0-1,1-1
Time of Possession,28:27,31:33
