Unnamed: 0,KAN,IND
First Downs,20,19
Rush-Yds-TDs,23-58-1,27-82-0
Cmp-Att-Yd-TD-INT,20-36-262-1-1,27-37-222-2-0
Sacked-Yards,1-5,5-45
Net Pass Yards,257,177
Total Yards,315,259
Fumbles-Lost,2-1,2-1
Turnovers,2,1
Penalties-Yards,6-45,4-34
Third Down Conv.,3-10,6-15
Fourth Down Conv.,1-2,1-3
Time of Possession,26:28,33:32
