Unnamed: 0,BAL,KAN
First Downs,18,17
Rush-Yds-TDs,34-93-1,30-135-0
Cmp-Att-Yd-TD-INT,21-27-283-1-0,15-27-178-1-2
Sacked-Yards,0-0,5-37
Net Pass Yards,283,141
Total Yards,376,276
Fumbles-Lost,2-1,1-1
Turnovers,1,3
Penalties-Yards,6-75,6-35
Third Down Conv.,6-13,8-17
Fourth Down Conv.,0-0,0-0
Time of Possession,33:29,26:31
