Quarter,Time,Tm,Detail,BAL,KAN
1.0,3:45,Ravens,Matt Stover 41 yard field goal,3,0
2.0,13:34,Ravens,Matt Stover 23 yard field goal,6,0
3.0,6:26,Ravens,Mark Clayton 87 yard pass from Steve McNair (Matt Stover kick),13,0
,1:23,Chiefs,Lawrence Tynes 49 yard field goal,13,3
4.0,2:51,Ravens,Jamal Lewis 1 yard rush (Matt Stover kick),20,3
,1:20,Chiefs,Dante Hall 5 yard pass from Trent Green (Lawrence Tynes kick),20,10
