Unnamed: 0,GNB,WAS
First Downs,19,20
Rush-Yds-TDs,17-100-0,35-166-2
Cmp-Att-Yd-TD-INT,27-45-265-2-0,12-20-220-2-1
Sacked-Yards,4-25,0-0
Net Pass Yards,240,220
Total Yards,340,386
Fumbles-Lost,2-1,0-0
Turnovers,1,1
Penalties-Yards,11-115,6-66
Third Down Conv.,6-14,5-11
Fourth Down Conv.,0-2,0-0
Time of Possession,30:55,29:05
