Unnamed: 0,PHI,SEA
First Downs,20,15
Rush-Yds-TDs,25-132-1,33-174-2
Cmp-Att-Yd-TD-INT,17-29-208-1-4,13-16-190-1-0
Sacked-Yards,2-10,3-17
Net Pass Yards,198,173
Total Yards,330,347
Fumbles-Lost,1-0,2-0
Turnovers,4,0
Penalties-Yards,5-28,5-30
Third Down Conv.,2-8,5-12
Fourth Down Conv.,1-1,1-1
Time of Possession,29:40,30:20
