Quarter,Time,Tm,Detail,PHI,SEA
1.0,9:19,Seahawks,Marshawn Lynch 15 yard rush (Stephen Hauschka kick),0,7
2.0,14:50,Seahawks,Marshawn Lynch 40 yard rush (Stephen Hauschka kick),0,14
,11:43,Eagles,LeSean McCoy 1 yard rush (Alex Henery kick),7,14
,0:16,Seahawks,Stephen Hauschka 49 yard field goal,7,17
3.0,8:04,Seahawks,Golden Tate 11 yard pass from Tarvaris Jackson (Stephen Hauschka kick),7,24
4.0,12:51,Eagles,LeSean McCoy 2 yard pass from Vince Young (Alex Henery kick),14,24
,4:24,Seahawks,David Hawthorne 77 yard interception return (Stephen Hauschka kick),14,31
