Unnamed: 0,IND,NWE
First Downs,28,25
Rush-Yds-TDs,24-119-1,25-115-2
Cmp-Att-Yd-TD-INT,27-50-334-2-3,24-35-331-3-0
Sacked-Yards,1-5,0-0
Net Pass Yards,329,331
Total Yards,448,446
Fumbles-Lost,3-1,1-0
Turnovers,4,0
Penalties-Yards,1-5,4-70
Third Down Conv.,8-14,8-12
Fourth Down Conv.,0-0,0-0
Time of Possession,32:55,27:05
