Quarter,Time,Down,ToGo,Location,SDG,NWE,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,1,SDG 16,3,0,Laurence Maroney left end for 8 yards (tackle by Antonio Cromartie),4.060,5.370
2,14:29,1,8,SDG 8,3,0,Tom Brady pass complete short left to Kevin Faulk for 7 yards (tackle by Eric Weddle),5.370,5.910
2,13:53,2,1,SDG 1,3,6,"Laurence Maroney right guard for 1 yard, touchdown",5.910,7.000
2,,,,SDG 2,3,7,Stephen Gostkowski kicks extra point good,0.000,0.000
2,,,,NWE 30,3,7,"Stephen Gostkowski kicks off 63 yards, returned by Darren Sproles for 23 yards (tackle by Larry Izzo)",0.000,0.940
2,13:42,1,10,SDG 30,3,7,Philip Rivers pass complete short middle to Vincent Jackson for 15 yards (tackle by Ellis Hobbs),0.940,1.930
2,13:10,1,10,SDG 45,3,7,Philip Rivers pass complete deep right to Vincent Jackson for 16 yards,1.930,2.980
2,12:47,1,10,NWE 39,3,7,Michael Turner up the middle for 4 yards (tackle by Tedy Bruschi and Richard Seymour),2.980,2.980
2,12:08,2,6,NWE 35,3,7,Philip Rivers pass complete short middle to Michael Turner for 5 yards (tackle by Tedy Bruschi),2.980,2.940
2,11:29,3,1,NWE 30,3,7,Philip Rivers pass complete deep middle to Vincent Jackson for 21 yards (tackle by Asante Samuel),2.940,5.140
2,10:52,1,9,NWE 9,3,7,Michael Turner left guard for 1 yard (tackle by Ty Warren and Vince Wilfork),5.140,4.570
2,10:08,2,8,NWE 8,3,7,Philip Rivers pass incomplete short right intended for Antonio Gates (defended by Tedy Bruschi),4.570,3.580
2,10:01,,,,3,7,Timeout #1 by San Diego Chargers,0.000,3.580
2,10:01,3,8,NWE 8,3,7,Philip Rivers pass complete short left to Chris Chambers for 3 yards (tackle by Ellis Hobbs),3.580,3.010
2,9:16,4,5,NWE 5,6,7,Nate Kaeding 23 yard field goal good,3.010,3.000
2,,,,SDG 30,6,7,"Nate Kaeding kicks off 54 yards, returned by Ellis Hobbs for 24 yards (tackle by Tim Dobbins)",0.000,1.600
2,9:09,1,10,NWE 40,6,7,Tom Brady pass complete short left to Kevin Faulk for 13 yards (tackle by Antonio Cromartie),1.600,2.460
2,8:45,1,10,SDG 47,6,7,Laurence Maroney right tackle for 5 yards (tackle by Igor Olshansky and Shawne Merriman),2.460,2.590
2,8:03,2,5,SDG 42,6,7,Tom Brady pass complete short left to Wes Welker for 2 yards (tackle by Jyles Tucker),2.590,2.150
2,7:23,3,3,SDG 40,6,7,Tom Brady pass incomplete short right intended for Randy Moss (defended by Quentin Jammer),2.150,0.590
2,7:19,4,3,SDG 40,6,7,Chris Hanson punts 36 yards,0.590,0.380
2,7:09,1,10,SDG 4,6,7,Michael Turner up the middle for 4 yards (tackle by Jarvis Green and Vince Wilfork),-0.380,-0.490
2,6:32,2,6,SDG 8,6,7,Michael Turner up the middle for 3 yards (tackle by Ty Warren and Vince Wilfork),-0.490,-0.600
2,5:48,3,3,SDG 11,6,7,Philip Rivers pass complete short right to Darren Sproles for 4 yards (tackle by Asante Samuel),-0.600,-0.220
2,5:23,1,10,SDG 15,6,7,Michael Turner up the middle for 2 yards (tackle by Jarvis Green and Rodney Harrison),-0.220,-0.440
2,4:48,2,8,SDG 17,6,7,Philip Rivers pass incomplete deep right intended for Chris Chambers is intercepted by Asante Samuel at SDG-34 and returned for 10 yards (tackle by Antonio Gates),-0.440,-3.970
2,4:36,1,10,SDG 24,6,7,Tom Brady pass complete short right to Kevin Faulk for 12 yards (tackle by Clinton Hart),3.970,4.780
2,3:57,1,10,SDG 12,6,13,"Tom Brady pass complete short middle to Jabar Gaffney for 12 yards, touchdown",4.780,7.000
2,,,,SDG 2,6,14,Stephen Gostkowski kicks extra point good,0.000,0.000
2,,,,NWE 30,6,14,"Stephen Gostkowski kicks off 61 yards, returned by Darren Sproles for 18 yards (tackle by Heath Evans)",0.000,0.740
2,3:46,1,10,SDG 27,6,14,Darren Sproles right guard for no gain (tackle by Tedy Bruschi and Junior Seau),0.740,0.200
2,3:04,2,10,SDG 27,6,14,Philip Rivers pass complete short right to Chris Chambers for 15 yards (tackle by Asante Samuel),0.200,1.730
2,2:35,1,10,SDG 42,6,14,"Philip Rivers pass incomplete deep left intended for Chris Chambers is intercepted by Ellis Hobbs at NWE-26. Ellis Hobbs fumbles (forced by Vincent Jackson), recovered by James Sanders at NWE-23",1.730,-0.480
2,2:24,1,10,NWE 23,6,14,Tom Brady pass incomplete deep right intended for Donte Stallworth (defended by Quentin Jammer),0.480,-0.070
2,2:18,2,10,NWE 23,6,14,Kevin Faulk right end for 8 yards (tackle by Marlon McCree),-0.070,0.300
2,2:00,3,2,NWE 31,6,14,Tom Brady pass incomplete short right intended for Wes Welker,0.300,-1.310
2,1:56,4,2,NWE 31,6,14,"Chris Hanson punts 37 yards, returned by Darren Sproles for 3 yards (tackle by Kelley Washington)",-1.310,-1.270
2,1:46,1,10,SDG 35,6,14,Darren Sproles up the middle for 8 yards (tackle by Jarvis Green),1.270,1.800
2,1:20,2,2,SDG 43,6,14,Darren Sproles up the middle for 26 yards (tackle by James Sanders and Brandon Meriweather),1.800,3.510
,,,,,,,"Replay Assistant challenged the fumble ruling, and the play was upheld.",,
2,0:34,1,10,NWE 31,6,14,Philip Rivers pass complete short left to Antonio Gates for 8 yards (tackle by Randall Gay),3.510,4.050
2,0:26,,,,6,14,Timeout #2 by San Diego Chargers,0.000,4.050
2,0:26,2,2,NWE 23,6,14,Philip Rivers pass complete short right to Darren Sproles for 1 yard (tackle by Brandon Meriweather),4.050,3.470
2,0:18,,,,6,14,Timeout #3 by San Diego Chargers,0.000,0.000
2,0:18,,,,6,14,Timeout #1 by New England Patriots,0.000,3.470
2,0:18,3,1,NWE 22,6,14,Philip Rivers pass incomplete short right intended for Vincent Jackson,3.470,2.140
2,0:12,,,,6,14,Timeout #2 by New England Patriots,0.000,2.140
2,0:12,4,1,NWE 22,9,14,Nate Kaeding 40 yard field goal good,2.140,3.000
2,,,,SDG 30,9,14,"Nate Kaeding kicks off 64 yards, returned by Ellis Hobbs for 15 yards (tackle by Tim Dobbins)",0.000,0.940
Quarter,Time,Down,ToGo,Location,SDG,NWE,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,SDG 30,9,14,"Nate Kaeding kicks off 53 yards, returned by Laurence Maroney for 22 yards (tackle by Legedu Naanee)",0.000,1.530
3,14:55,1,10,NWE 39,9,14,Tom Brady pass incomplete short left intended for Randy Moss,1.530,0.990
3,14:51,2,10,NWE 39,9,14,Tom Brady pass complete short right to Wes Welker for 9 yards (tackle by Stephen Cooper),0.990,1.490
3,14:22,3,1,NWE 48,9,14,Heath Evans up the middle for 4 yards (tackle by Shawne Merriman),1.490,2.390
3,13:49,1,10,SDG 48,9,14,Laurence Maroney right tackle for 1 yard (tackle by Jamal Williams and Shaun Phillips),2.390,1.980
