Quarter,Time,Down,ToGo,Location,ATL,JAX,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Jaguars won the coin toss and deferred, Falcons to receive the opening kickoff.",,
1,15:00,,,JAX 35,0,0,"Matthew Wright kicks off 57 yards, returned by Avery Williams for 24 yards (tackle by Rayshawn Jenkins)",,
1,14:54,1,10,ATL 32,0,0,Matt Ryan pass complete short right to Keith Smith for 6 yards (tackle by Damien Wilson),,
1,14:10,2,4,ATL 38,0,0,"Penalty on Lee Smith: False Start, 5 yards (accepted) (no play)",,
1,13:56,2,9,ATL 33,0,0,Cordarrelle Patterson up the middle for no gain (tackle by Myles Jack),,
1,13:24,3,9,ATL 33,0,0,Matt Ryan pass complete short right to Russell Gage for 9 yards (tackle by Rudy Ford),,
1,12:54,1,10,ATL 42,0,0,Matt Ryan pass incomplete short left intended for Russell Gage (defended by Nevin Lawson),,
1,12:48,2,10,ATL 42,0,0,Matt Ryan scrambles right end for 7 yards (tackle by Andrew Wingard),,
1,12:08,3,3,ATL 49,0,0,Matt Ryan pass complete short left to Cordarrelle Patterson for 7 yards (tackle by Myles Jack),,
1,11:34,1,10,JAX 44,0,0,Mike Davis up the middle for 5 yards (tackle by Malcom Brown and Myles Jack),,
1,10:59,2,5,JAX 39,0,0,Mike Davis up the middle for -2 yards (tackle by Adam Gotsis),,
1,10:16,3,7,JAX 41,0,0,Matt Ryan pass incomplete short right intended for Mike Davis,,
1,10:10,4,7,JAX 41,0,0,"Penalty on Feleipe Franks: Delay of Game, 5 yards (accepted) (no play)",,
1,10:10,4,12,JAX 46,0,0,"Thomas Morstead punts 32 yards, fair catch by Jaydon Mickens at JAC-14",,
1,10:03,1,10,JAX 14,0,0,Trevor Lawrence pass complete short left to Laviska Shenault for 1 yard (tackle by Adetokunbo Ogundeji),,
1,9:29,2,9,JAX 15,0,0,Trevor Lawrence pass complete short right to Laviska Shenault for 11 yards (tackle by Erik Harris),,
1,9:07,1,10,JAX 26,0,0,James Robinson up the middle for 6 yards (tackle by Foyesade Oluokun and Mykal Walker),,
1,8:32,2,4,JAX 32,0,0,James Robinson up the middle for no gain (tackle by Grady Jarrett),,
1,7:51,3,4,JAX 32,0,0,Trevor Lawrence pass complete short right to Marvin Jones for 5 yards (tackle by AJ Terrell),,
1,7:11,1,10,JAX 37,0,0,"Penalty on Cam Robinson: False Start, 5 yards (accepted) (no play)",,
1,6:50,1,15,JAX 32,0,0,James Robinson right end for 5 yards (tackle by Mykal Walker),,
1,6:16,2,10,JAX 37,0,0,Trevor Lawrence pass incomplete deep left intended for John Brown,,
1,6:09,3,10,JAX 37,0,0,Trevor Lawrence pass incomplete deep left intended for Laviska Shenault,,
1,6:03,4,10,JAX 37,0,0,"Logan Cooke punts 44 yards, fair catch by Avery Williams at ATL-19",,
1,5:55,1,10,ATL 19,0,0,Cordarrelle Patterson up the middle for 4 yards (tackle by Josh Allen and Nevin Lawson),,
1,5:12,2,6,ATL 23,0,0,Matt Ryan sacked by Roy Robertson-Harris for -7 yards,,
1,4:28,3,13,ATL 16,0,0,Matt Ryan pass complete short middle to Mike Davis for 18 yards (tackle by Andrew Wingard and Myles Jack),,
1,3:45,1,10,ATL 34,0,0,Cordarrelle Patterson left end for 19 yards (tackle by Andrew Wingard),,
1,3:10,1,10,JAX 47,0,0,Wayne Gallman up the middle for 15 yards (tackle by Nevin Lawson and Rayshawn Jenkins),,
1,2:31,1,10,JAX 32,0,0,Wayne Gallman up the middle for 1 yard (tackle by Rayshawn Jenkins),,
1,1:52,2,9,JAX 31,0,0,Matt Ryan pass complete short middle to Tajae Sharpe for 13 yards (tackle by Nevin Lawson),,
1,1:16,1,10,JAX 18,0,0,Cordarrelle Patterson left end for 11 yards (tackle by Lerentee McCray),,
1,0:47,1,7,JAX 7,6,0,"Cordarrelle Patterson for 7 yards, touchdown",,
1,0:38,,,JAX 15,7,0,Younghoe Koo kicks extra point good,,
1,0:38,,,ATL 35,7,0,"Younghoe Koo kicks off 66 yards, returned by Jaydon Mickens for 29 yards (tackle by Richie Grant)",,
1,0:33,1,10,JAX 28,7,0,James Robinson up the middle for 6 yards (tackle by Adetokunbo Ogundeji),,
Quarter,Time,Down,ToGo,Location,ATL,JAX,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,4,JAX 34,7,0,James Robinson up the middle for 3 yards (tackle by Adetokunbo Ogundeji and Grady Jarrett),,
2,14:39,3,1,JAX 37,7,0,James Robinson up the middle for 9 yards (tackle by AJ Terrell),,
2,14:04,1,10,JAX 46,7,0,Trevor Lawrence pass complete short left to Dan Arnold for 9 yards (tackle by Erik Harris and Mykal Walker),,
2,13:41,2,1,ATL 45,7,0,James Robinson up the middle for 7 yards (tackle by James Vaughters and Mykal Walker),,
2,13:07,1,10,ATL 38,7,0,James Robinson up the middle for 3 yards (tackle by Mykal Walker and Foyesade Oluokun),,
2,12:30,2,7,ATL 35,7,0,"Trevor Lawrence pass deep left intended for Marvin Jones is intercepted by Duron Harmon at ATL-1 and returned for no gain Penalty on JAX: Illegal Formation, 5 yards (declined)",,
2,12:22,1,10,ATL 1,7,0,Matt Ryan up the middle for 1 yard (tackle by Malcom Brown),,
2,11:38,2,9,ATL 2,7,0,Matt Ryan pass complete short right to Parker Hesse for 7 yards (tackle by Myles Jack),,
2,10:52,3,2,ATL 9,7,0,Matt Ryan pass complete short left to Mike Davis for no gain (tackle by Taven Bryan and Josh Allen),,
2,10:13,4,2,ATL 9,7,0,"Penalty on Lerentee McCray: Neutral Zone Infraction, 5 yards (accepted) (no play)",,
2,10:02,1,10,ATL 14,7,0,Cordarrelle Patterson up the middle for 27 yards (tackle by Tyson Campbell and Nevin Lawson),,
2,9:24,1,10,ATL 41,7,0,Cordarrelle Patterson left end for 4 yards (tackle by Adam Gotsis and Malcom Brown),,
2,8:47,2,6,ATL 45,7,0,Matt Ryan pass incomplete short left,,
2,8:40,3,6,ATL 45,7,0,Matt Ryan pass incomplete short left intended for Cordarrelle Patterson,,
2,8:36,4,6,ATL 45,7,0,"Thomas Morstead punts 55 yards, touchback.",,
2,8:27,1,10,JAX 20,7,0,Trevor Lawrence pass complete short middle to James Robinson for 8 yards (tackle by Foyesade Oluokun),,
2,7:53,2,2,JAX 28,7,0,"James Robinson for 1 yard. James Robinson fumbles (forced by Anthony Rush), recovered by Marlon Davidson at JAC-29 (tackle by Anthony Rush)",,
2,7:44,1,10,JAX 29,7,0,Matt Ryan pass incomplete intended for Kyle Pitts,,
2,7:40,2,10,JAX 29,7,0,Matt Ryan pass incomplete short right intended for Tajae Sharpe (defended by Tyson Campbell),,
2,7:35,3,10,JAX 29,7,0,Matt Ryan pass complete short right to Russell Gage for 4 yards (tackle by Tyson Campbell),,
2,6:52,4,5,JAX 25,7,0,"Younghoe Koo yard field goal good. Penalty on Roy Robertson-Harris: Leverage, 13 yards (accepted) (no play)",,
2,6:46,1,10,JAX 12,13,0,"Cordarrelle Patterson up the middle for 12 yards, touchdown",,
2,6:40,,,JAX 15,14,0,Younghoe Koo kicks extra point good,,
2,6:40,,,ATL 35,14,0,"Younghoe Koo kicks off 64 yards, returned by Jaydon Mickens for 26 yards (tackle by Younghoe Koo)",,
2,6:32,1,10,JAX 27,14,0,Trevor Lawrence right end for 8 yards (tackle by AJ Terrell),,
2,6:04,2,2,JAX 35,14,0,Trevor Lawrence pass complete short right to Chris Manhertz for 11 yards (tackle by Mykal Walker),,
2,5:22,1,10,JAX 46,14,0,Trevor Lawrence pass incomplete intended for Chris Manhertz,,
2,5:15,2,10,JAX 46,14,0,"Trevor Lawrence sacked by Dante Fowler for -12 yards. Trevor Lawrence fumbles (forced by Dante Fowler), recovered by Chris Manhertz at JAC-34 and returned for 2 yards",,
2,4:28,3,22,JAX 34,14,0,Trevor Lawrence pass complete short middle to Laviska Shenault for 24 yards (tackle by Darren Hall and Foyesade Oluokun),,
2,3:47,1,10,ATL 42,14,0,Carlos Hyde up the middle for 8 yards (tackle by Mykal Walker),,
2,3:27,2,2,ATL 34,14,0,Carlos Hyde up the middle for 1 yard (tackle by Richie Grant and Adetokunbo Ogundeji),,
2,2:53,3,1,ATL 33,14,0,Trevor Lawrence up the middle for 4 yards (tackle by Mykal Walker),,
2,2:09,1,10,ATL 29,14,0,Trevor Lawrence pass complete short left to Laviska Shenault for -1 yards (tackle by Richie Grant and Adetokunbo Ogundeji),,
2,2:00,2,11,ATL 30,14,0,"Trevor Lawrence pass complete deep right to Marvin Jones for 21 yards (tackle by Duron Harmon). Penalty on Fabian Moreau: Defensive Holding, 5 yards (declined)",,
2,1:52,1,9,ATL 9,14,0,Trevor Lawrence pass complete to Laviska Shenault for -2 yards (tackle by Darren Hall),,
2,1:44,,,,,,Timeout #1 by Atlanta Falcons,,
2,1:44,2,11,ATL 11,14,0,Trevor Lawrence pass incomplete short right intended for Dare Ogunbowale,,
2,1:41,3,11,ATL 11,14,0,Trevor Lawrence pass complete short left to Laquon Treadwell for 8 yards (tackle by Adetokunbo Ogundeji),,
2,0:50,,,,,,Timeout #3 by Jacksonville Jaguars,,
2,0:50,4,3,ATL 3,14,3,Matthew Wright 22 yard field goal good,,
2,0:45,,,JAX 35,14,3,"Matthew Wright kicks off 63 yards, returned by Avery Williams for 22 yards (tackle by Rudy Ford)",,
2,0:39,1,10,ATL 24,14,3,Matt Ryan pass complete short middle to Mike Davis for 7 yards (tackle by Myles Jack and Rudy Ford),,
2,0:23,2,3,ATL 31,14,3,Matt Ryan pass intended for Kyle Pitts is intercepted by Tyson Campbell at 50 and returned for no gain (tackle by Kyle Pitts),,
2,0:19,1,10,ATL 50,14,3,Trevor Lawrence pass complete short right to Marvin Jones for 9 yards (tackle by AJ Terrell),,
2,0:15,,,,,,Timeout #2 by Jacksonville Jaguars,,
2,0:15,2,1,ATL 41,14,3,Trevor Lawrence pass incomplete short right intended for James O'Shaughnessy,,
2,0:10,3,1,ATL 41,14,3,Trevor Lawrence pass incomplete deep left intended for Laquon Treadwell,,
2,0:03,,,,,,Timeout #3 by Jacksonville Jaguars,,
2,0:03,4,1,ATL 41,14,3,Trevor Lawrence pass incomplete deep left (defended by Mykal Walker),,
Quarter,Time,Down,ToGo,Location,ATL,JAX,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,ATL 35,14,3,"Younghoe Koo kicks off 63 yards, returned by Jaydon Mickens for 19 yards (tackle by Jaylinn Hawkins and Avery Williams)",,
3,14:54,1,10,JAX 21,14,3,James Robinson up the middle for 4 yards (tackle by Foyesade Oluokun and Erik Harris),,
3,14:36,2,6,JAX 25,14,3,Trevor Lawrence pass complete middle to Tavon Austin for 14 yards (tackle by Duron Harmon),,
3,14:15,1,10,JAX 39,14,3,James Robinson right end for 4 yards (tackle by AJ Terrell),,
3,13:41,2,6,JAX 43,14,3,James Robinson up the middle for 3 yards (tackle by Adetokunbo Ogundeji),,
3,13:00,3,3,JAX 46,14,3,Trevor Lawrence pass incomplete short right intended for Marvin Jones (defended by AJ Terrell),,
3,12:55,4,3,JAX 46,14,3,Logan Cooke punts 42 yards out of bounds,,
3,12:48,1,10,ATL 12,14,3,Matt Ryan pass complete short middle to Russell Gage for 15 yards (tackle by Rayshawn Jenkins),,
3,12:19,1,10,ATL 27,14,3,Cordarrelle Patterson up the middle for 4 yards (tackle by Roy Robertson-Harris),,
3,11:43,2,6,ATL 31,14,3,Matt Ryan pass complete short left to Keith Smith for 10 yards (tackle by Rayshawn Jenkins),,
3,10:59,1,10,ATL 41,14,3,Matt Ryan pass complete short right to Cordarrelle Patterson for 20 yards (tackle by Andrew Wingard),,
3,10:27,1,10,JAX 39,14,3,Wayne Gallman left end for 2 yards (tackle by Myles Jack and Malcom Brown),,
3,9:49,2,8,JAX 37,14,3,Matt Ryan pass complete short right to Kyle Pitts for 19 yards (tackle by Rudy Ford),,
3,9:14,1,10,JAX 18,14,3,Wayne Gallman left end for 1 yard (tackle by Damien Wilson),,
3,8:37,2,9,JAX 17,14,3,Matt Ryan pass complete short right to Olamide Zaccheaus for 5 yards (tackle by Rudy Ford),,
3,7:54,3,4,JAX 12,20,3,"Matt Ryan pass complete short left to Russell Gage for 12 yards, touchdown",,
3,7:47,,,JAX 15,21,3,Younghoe Koo kicks extra point good,,
3,7:47,,,ATL 35,21,3,"Younghoe Koo kicks off 65 yards, touchback.",,
3,7:47,1,10,JAX 25,21,3,Carlos Hyde up the middle for 2 yards (tackle by Mykal Walker),,
3,7:16,2,8,JAX 27,21,3,Trevor Lawrence pass incomplete deep right intended for Marvin Jones (defended by Fabian Moreau),,
3,7:09,3,8,JAX 27,21,3,Trevor Lawrence pass complete short right to James O'Shaughnessy for 5 yards (tackle by Mykal Walker and AJ Terrell),,
3,6:31,4,3,JAX 32,21,3,"Logan Cooke punts 44 yards, returned by Avery Williams for 3 yards (tackle by Shaquille Quarterman)",,
3,6:20,1,10,ATL 27,21,3,Cordarrelle Patterson right end for 2 yards (tackle by Josh Allen),,
3,5:42,2,8,ATL 29,21,3,Cordarrelle Patterson up the middle for 7 yards (tackle by Myles Jack),,
3,5:08,3,1,ATL 36,21,3,Cordarrelle Patterson up the middle for no gain (tackle by Rayshawn Jenkins and Shaquille Quarterman),,
3,4:20,4,1,ATL 36,21,3,"Thomas Morstead punts 54 yards, returned by Jaydon Mickens for 18 yards (tackle by Josh Harris and Brandon Copeland)",,
3,4:06,1,10,JAX 28,21,3,Trevor Lawrence pass complete short left to Laquon Treadwell for 14 yards (tackle by Foyesade Oluokun),,
