Quarter,Time,Tm,Detail,ATL,JAX
1.0,0:38,Falcons,Cordarrelle Patterson 7 yard rush (Younghoe Koo kick),7,0
2.0,6:40,Falcons,Cordarrelle Patterson 12 yard rush (Younghoe Koo kick),14,0
,0:45,Jaguars,Matthew Wright 22 yard field goal,14,3
3.0,7:47,Falcons,Russell Gage 12 yard pass from Matt Ryan (Younghoe Koo kick),21,3
,0:22,Jaguars,Tavon Austin 7 yard pass from Trevor Lawrence (James O'Shaughnessy pass from Trevor Lawrence),21,11
4.0,6:28,Jaguars,Matthew Wright 34 yard field goal,21,14
