Unnamed: 0,ATL,JAX
First Downs,21,20
Rush-Yds-TDs,29-149-2,28-141-0
Cmp-Att-Yd-TD-INT,19-29-190-1-1,23-42-228-1-1
Sacked-Yards,1-7,1-12
Net Pass Yards,183,216
Total Yards,332,357
Fumbles-Lost,0-0,3-1
Turnovers,1,2
Penalties-Yards,5-26,6-43
Third Down Conv.,5-12,9-16
Fourth Down Conv.,0-0,0-2
Time of Possession,30:52,29:08
