Quarter,Time,Down,ToGo,Location,PHI,LAR,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Eagles won the coin toss and deferred, Rams to receive the opening kickoff.",,
1,15:00,,,PHI 35,0,0,"Jake Elliott kicks off 65 yards, touchback.",0.000,0.610
1,15:00,1,10,LAR 25,0,0,Todd Gurley right tackle for -4 yards (tackle by Malcolm Jenkins),0.610,-0.480
1,14:17,2,14,LAR 21,0,0,Todd Gurley up the middle for 3 yards (tackle by Nigel Bradham),-0.480,-0.760
1,13:43,3,11,LAR 24,0,0,Jared Goff pass incomplete deep right intended for Josh Reynolds (defended by Avonte Maddox),-0.760,-1.770
1,13:37,4,11,LAR 24,0,0,"Johnny Hekker punts 65 yards, returned by Darren Sproles for 13 yards (tackle by Justin Lawler)",-1.770,-0.540
1,13:24,1,10,PHI 24,0,0,Nick Foles up the middle for 3 yards (tackle by John Johnson),0.540,0.400
1,12:46,2,7,PHI 27,0,0,Nick Foles pass complete short left to Dallas Goedert for 10 yards (tackle by Cory Littleton),0.400,1.400
1,12:11,1,10,PHI 37,0,0,Nick Foles pass complete short right to Zach Ertz for 2 yards (tackle by Lamarcus Joyner),1.400,1.130
1,11:29,2,8,PHI 39,0,0,Wendell Smallwood right tackle for 4 yards (tackle by Mark Barron),1.130,0.960
1,10:49,3,4,PHI 43,0,0,Darren Sproles up the middle for 17 yards (tackle by John Johnson),0.960,2.920
1,10:10,1,10,LAR 40,0,0,Nick Foles pass incomplete short left intended for Josh Adams,2.920,2.370
1,10:04,2,10,LAR 40,0,0,Josh Adams up the middle for no gain (tackle by Michael Brockers and Ethan Westbrooks),2.370,1.680
1,9:22,3,10,LAR 40,0,0,Nick Foles pass complete short middle to Golden Tate for 7 yards (tackle by Marqui Christian),1.680,1.190
1,8:41,4,3,LAR 33,3,0,Jake Elliott 51 yard field goal good,1.190,3.000
1,8:35,,,PHI 35,3,0,"Jake Elliott kicks off 64 yards, returned by Pharoh Cooper for no gain (tackle by B.J. Bello)",0.000,0.280
1,8:30,1,10,LAR 20,3,0,Todd Gurley up the middle for 6 yards (tackle by Kamu Grugier-Hill),0.280,0.540
1,7:50,2,4,LAR 26,3,0,Todd Gurley left guard for 3 yards (tackle by Malcolm Jenkins),0.540,0.230
1,7:21,3,1,LAR 29,3,0,Jared Goff pass complete short right to Todd Gurley for 6 yards (tackle by Avonte Maddox),0.230,1.270
1,6:50,1,10,LAR 35,3,0,"Jared Goff pass incomplete short middle intended for Todd Gurley (defended by Kamu Grugier-Hill). Penalty on Austin Blythe: Ineligible Downfield Pass (Declined) . Penalty on John Sullivan: Offensive Holding, 10 yards (no play)",1.270,0.610
1,6:43,1,20,LAR 25,3,0,Jared Goff pass complete short middle to Todd Gurley for 8 yards (tackle by Kamu Grugier-Hill),0.610,0.450
1,6:02,2,12,LAR 33,3,0,Jared Goff pass complete short right to Robert Woods for 18 yards (tackle by Malcolm Jenkins),0.450,2.320
1,5:32,1,10,PHI 49,3,0,Todd Gurley left tackle for 4 yards (tackle by Malcolm Jenkins),2.320,2.320
1,5:04,2,6,PHI 45,3,0,Jared Goff right end for 7 yards (tackle by Nigel Bradham),2.320,3.050
1,4:27,1,10,PHI 38,3,0,Todd Gurley up the middle for 3 yards (tackle by Nigel Bradham),3.050,2.910
1,3:56,2,7,PHI 35,3,0,Jared Goff pass complete short left to Tyler Higbee for 11 yards (tackle by Rasul Douglas and Cre'von LeBlanc),2.910,3.970
1,3:25,1,10,PHI 24,3,0,Jared Goff pass complete short left to Josh Reynolds for 6 yards (tackle by Malcolm Jenkins and Nathan Gerry),3.970,4.290
1,2:38,2,4,PHI 18,3,0,Jared Goff pass complete short left to Robert Woods for 4 yards (tackle by Cre'von LeBlanc),4.290,4.650
1,2:01,1,10,PHI 14,3,0,Jared Goff pass complete short middle to Todd Gurley for 9 yards (tackle by Malcolm Jenkins),4.650,5.670
1,1:21,2,1,PHI 5,3,6,"Todd Gurley left guard for 5 yards, touchdown",5.670,7.000
1,1:16,,,PHI 15,3,7,Greg Zuerlein kicks extra point good,0.000,0.000
1,1:16,,,LAR 35,3,7,"Greg Zuerlein kicks off 65 yards, touchback.",0.000,0.610
1,1:16,1,10,PHI 25,3,7,Josh Adams up the middle for 4 yards (tackle by John Johnson),0.610,0.600
1,0:36,2,6,PHI 29,3,7,Josh Adams right tackle for no gain (tackle by Dante Fowler and Mark Barron),0.600,-0.100
Quarter,Time,Down,ToGo,Location,PHI,LAR,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,6,PHI 29,3,7,Nick Foles pass complete deep right to Alshon Jeffery for 26 yards (tackle by Aqib Talib),-0.100,2.590
2,14:36,1,10,LAR 45,3,7,Nick Foles right end for 2 yards (tackle by Ndamukong Suh),2.590,2.310
2,14:01,2,8,LAR 43,3,7,Wendell Smallwood up the middle for 3 yards (tackle by John Johnson and Ndamukong Suh),2.310,2.010
2,13:20,3,5,LAR 40,3,7,"Nick Foles pass complete short left to Wendell Smallwood for 4 yards (tackle by Marcus Peters). Penalty on Marcus Peters: Unnecessary Roughness, 15 yards",2.010,4.170
2,12:56,1,10,LAR 21,3,7,Darren Sproles up the middle for 9 yards (tackle by Cory Littleton),4.170,5.160
2,12:15,2,1,LAR 12,3,7,Nick Foles pass incomplete short right intended for Zach Ertz,5.160,4.490
2,12:10,3,1,LAR 12,3,7,"Penalty on Jason Peters: False Start, 4 yards (no play)",4.490,3.630
2,12:10,3,5,LAR 16,3,7,Nick Foles pass incomplete deep middle intended for Zach Ertz (defended by John Johnson),3.630,2.430
2,12:05,4,5,LAR 16,6,7,Jake Elliott 34 yard field goal good,2.430,3.000
2,12:00,,,PHI 35,6,7,"Jake Elliott kicks off 65 yards, touchback.",0.000,0.610
2,12:00,1,10,LAR 25,6,7,Robert Woods left end for 19 yards (tackle by Cre'von LeBlanc),0.610,1.860
2,11:20,1,10,LAR 44,6,7,Jared Goff pass short right intended for Josh Reynolds is intercepted by Avonte Maddox at PHI-42 and returned for no gain,1.860,-1.730
2,11:11,1,10,PHI 42,6,7,Nick Foles pass complete short right to Alshon Jeffery for 7 yards (tackle by Mark Barron and Samson Ebukam),1.730,2.130
2,10:30,2,3,PHI 49,6,7,Nick Foles pass incomplete deep right intended for Nelson Agholor (defended by Marcus Peters),2.130,1.420
2,10:21,3,3,PHI 49,6,7,Josh Adams up the middle for 2 yards (tackle by Michael Brockers and John Johnson),1.420,0.000
2,9:38,4,1,LAR 49,6,7,Josh Adams up the middle for no gain (tackle by John Johnson and Cory Littleton),0.000,-2.190
2,9:29,1,10,LAR 49,6,7,Todd Gurley left guard for 21 yards (tackle by Corey Graham and Rasul Douglas),2.190,3.580
2,8:51,1,10,PHI 30,6,7,Todd Gurley right end for 9 yards (tackle by Corey Graham),3.580,4.250
2,8:21,2,1,PHI 21,6,7,Justin Davis left tackle for no gain (tackle by Kamu Grugier-Hill and Treyvon Hester),4.250,3.530
2,7:49,3,1,PHI 21,6,7,Jared Goff pass complete short left to Brandin Cooks for 7 yards (tackle by Rasul Douglas),3.530,4.650
2,7:07,1,10,PHI 14,6,7,"Jared Goff pass complete short right to Brandin Cooks for 4 yards (tackle by Kamu Grugier-Hill). Penalty on Robert Woods: Offensive Pass Interference, 10 yards (no play)",4.650,3.970
2,6:43,1,20,PHI 24,6,7,Todd Gurley left end for -1 yards (tackle by Malcolm Jenkins),3.970,2.610
2,6:10,2,21,PHI 25,6,7,Jared Goff pass complete short left to Todd Gurley for 10 yards (tackle by Rasul Douglas),2.610,3.060
2,5:26,3,11,PHI 15,6,7,Jared Goff sacked by Fletcher Cox for -8 yards,3.060,1.930
2,4:41,4,19,PHI 23,6,10,Greg Zuerlein 41 yard field goal good,1.930,3.000
2,4:38,,,LAR 35,6,10,"Greg Zuerlein kicks off 65 yards, touchback.",0.000,0.610
2,4:38,1,10,PHI 25,6,10,Josh Adams left guard for 8 yards (tackle by Lamarcus Joyner and John Johnson),0.610,1.140
2,4:08,2,2,PHI 33,6,10,Josh Adams up the middle for no gain (tackle by Cory Littleton and Samson Ebukam),1.140,0.430
2,3:28,3,2,PHI 33,6,10,Nick Foles pass complete short right to Dallas Goedert for 2 yards (tackle by John Johnson and Mark Barron),0.430,1.270
2,2:46,1,10,PHI 35,6,10,Josh Adams up the middle for 3 yards (tackle by John Johnson),1.270,1.130
2,2:13,2,7,PHI 38,6,10,Josh Adams up the middle for 2 yards (tackle by Samson Ebukam and Michael Brockers),1.130,0.700
2,2:09,,,,,,Timeout #1 by Los Angeles Rams,,
2,2:09,3,5,PHI 40,6,10,Nick Foles pass complete deep right to Alshon Jeffery for 36 yards (tackle by John Johnson),0.700,3.970
2,1:59,1,10,LAR 24,6,10,Nick Foles pass incomplete short left intended for Darren Sproles,3.970,3.430
2,1:53,2,10,LAR 24,6,10,Nick Foles pass complete deep left to Alshon Jeffery for 18 yards (tackle by Marcus Peters),3.430,5.830
2,1:12,1,6,LAR 6,12,10,"Josh Adams up the middle for 6 yards, touchdown",5.830,7.000
2,1:07,,,LAR 15,13,10,Jake Elliott kicks extra point good,0.000,0.000
2,1:07,,,PHI 35,13,10,"Jake Elliott kicks off 65 yards, touchback.",0.000,0.610
2,1:07,1,10,LAR 25,13,10,Jared Goff pass complete short right to Brandin Cooks for 8 yards (tackle by Avonte Maddox),0.610,1.140
2,0:47,2,2,LAR 33,13,10,Jared Goff pass complete short left to Brandin Cooks for 12 yards (tackle by Rasul Douglas),1.140,1.930
2,0:42,1,10,LAR 45,13,10,Jared Goff pass complete short right to Brandin Cooks for 5 yards (tackle by Cre'von LeBlanc),1.930,2.060
2,0:37,,,,,,Timeout #2 by Los Angeles Rams,,
2,0:37,2,5,LAR 50,13,10,Jared Goff pass complete short left to Robert Woods for 20 yards (tackle by Rasul Douglas and Corey Graham),2.060,3.580
2,0:27,,,,,,Timeout #3 by Los Angeles Rams,,
2,0:27,1,10,PHI 30,13,10,Jared Goff pass complete short left to Todd Gurley for 5 yards (tackle by Tre Sullivan),3.580,3.710
2,0:22,2,5,PHI 25,13,10,Jared Goff pass complete short left to Brandin Cooks for 7 yards,3.710,4.370
2,0:18,1,10,PHI 18,13,10,Jared Goff pass incomplete deep left intended for Josh Reynolds,4.370,3.800
2,0:14,2,10,PHI 18,13,10,Jared Goff pass incomplete deep right intended for Josh Reynolds,3.800,3.050
2,0:09,3,10,PHI 18,13,10,Jared Goff pass incomplete deep right intended for Josh Reynolds,3.050,2.250
2,0:04,4,10,PHI 18,13,13,Greg Zuerlein 36 yard field goal good,2.250,3.000
Quarter,Time,Down,ToGo,Location,PHI,LAR,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,LAR 35,13,13,"Greg Zuerlein kicks off 65 yards, touchback.",0.000,0.610
3,15:00,1,10,PHI 25,13,13,"Darren Sproles left end for no gain (tackle by Michael Brockers). Penalty on Brandon Brooks: Offensive Holding, 10 yards (no play)",0.610,-0.410
3,14:40,1,20,PHI 15,13,13,Josh Adams up the middle for 2 yards (tackle by Ndamukong Suh),-0.410,-1.150
3,13:57,2,18,PHI 17,13,13,Nick Foles pass complete short right to Darren Sproles for 6 yards (tackle by Cory Littleton),-1.150,-0.890
3,13:25,3,12,PHI 23,13,13,Nick Foles pass complete short middle to Golden Tate for 11 yards (tackle by Cory Littleton),-0.890,-1.110
3,12:49,4,1,PHI 34,13,13,"Cameron Johnston punts 56 yards, returned by Jojo Natson for -5 yards (tackle by Deiondre' Hall)",-1.110,0.380
3,12:36,1,10,LAR 5,13,13,Todd Gurley left end for -2 yards (tackle by Nigel Bradham),-0.380,-0.930
3,12:04,2,12,LAR 3,13,13,Jared Goff pass incomplete short right intended for Robert Woods (defended by Cre'von LeBlanc),-0.930,-1.650
3,11:59,3,12,LAR 3,13,13,Jared Goff pass complete short right to Robert Woods for 6 yards (tackle by Fletcher Cox and Cre'von LeBlanc),-1.650,-2.490
3,11:23,4,6,LAR 9,13,13,"Johnny Hekker punts 50 yards, fair catch by Darren Sproles at PHI-41",-2.490,-1.660
3,11:14,1,10,PHI 41,13,13,Nick Foles pass complete deep middle to Alshon Jeffery for 50 yards (tackle by Lamarcus Joyner),1.660,5.140
