Unnamed: 0,PHI,LAR
First Downs,17,23
Rush-Yds-TDs,30-111-3,18-82-2
Cmp-Att-Yd-TD-INT,24-31-270-0-1,35-54-339-0-1
Sacked-Yards,0-0,2-14
Net Pass Yards,270,325
Total Yards,381,407
Fumbles-Lost,0-0,3-2
Turnovers,1,3
Penalties-Yards,6-49,5-50
Third Down Conv.,4-13,4-12
Fourth Down Conv.,0-1,0-1
Time of Possession,31:36,28:24
