Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
Josh Adams,PHI,15,28,1,1,8,0.5,20,1.3,0,
Wendell Smallwood,PHI,10,48,2,5,32,3.2,16,1.6,1,10.0
Darren Sproles,PHI,3,30,0,1,25,8.3,5,1.7,0,
Nick Foles,PHI,2,5,0,0,-1,-0.5,6,3.0,0,
Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
Todd Gurley,LAR,12,48,2,3,20,1.7,28,2.3,0,
Jared Goff,LAR,2,11,0,1,11,5.5,0,0.0,0,
John Kelly,LAR,2,4,0,,0,0.0,4,2.0,0,
Justin Davis,LAR,1,0,0,,0,0.0,0,0.0,0,
Robert Woods,LAR,1,19,0,1,13,13.0,6,6.0,0,
