Unnamed: 0,TAM,SFO
First Downs,14,28
Rush-Yds-TDs,23-86-0,36-213-2
Cmp-Att-Yd-TD-INT,18-35-194-0-2,14-22-205-3-0
Sacked-Yards,3-8,0-0
Net Pass Yards,186,205
Total Yards,272,418
Fumbles-Lost,1-1,1-1
Turnovers,3,1
Penalties-Yards,9-96,3-30
Third Down Conv.,7-16,2-7
Fourth Down Conv.,0-1,1-1
Time of Possession,28:58,31:02
