Quarter,Time,Tm,Detail,TAM,SFO
1.0,10:26,49ers,Delanie Walker 26 yard pass from Alex Smith (David Akers kick),0,7
,3:58,Buccaneers,Connor Barth 24 yard field goal,3,7
2.0,14:46,49ers,Carlos Rogers 31 yard interception return (David Akers kick),3,14
,7:56,49ers,Frank Gore 2 yard rush (David Akers kick),3,21
,4:29,49ers,David Akers 37 yard field goal,3,24
3.0,9:43,49ers,Vernon Davis 23 yard pass from Alex Smith (David Akers kick),3,31
,2:36,49ers,David Akers 27 yard field goal,3,34
4.0,14:52,49ers,Vernon Davis 14 yard pass from Alex Smith (David Akers kick),3,41
,3:48,49ers,Anthony Dixon 1 yard rush (David Akers kick),3,48
