Quarter,Time,Tm,Detail,STL,SEA
1.0,11:19,Seahawks,Olindo Mare 28 yard field goal,0,3
,6:44,Seahawks,Michael Bumpus 10 yard pass from Matt Hasselbeck (Olindo Mare kick),0,10
,1:16,Seahawks,Julius Jones 29 yard rush (Olindo Mare kick),0,17
2.0,13:26,Rams,Josh Brown 43 yard field goal,3,17
,8:39,Seahawks,T.J. Duckett 4 yard rush (Olindo Mare kick),3,24
,2:52,Rams,Josh Brown 29 yard field goal,6,24
,0:03,Seahawks,Olindo Mare 38 yard field goal,6,27
3.0,9:07,Rams,Dane Looker 21 yard pass from Marc Bulger (Josh Brown kick),13,27
4.0,8:39,Seahawks,T.J. Duckett 1 yard rush (Olindo Mare kick),13,34
,4:46,Seahawks,Olindo Mare 38 yard field goal,13,37
