Unnamed: 0,STL,SEA
First Downs,14,24
Rush-Yds-TDs,24-65-0,46-245-3
Cmp-Att-Yd-TD-INT,18-31-184-1-1,12-20-172-1-0
Sacked-Yards,1-9,1-10
Net Pass Yards,175,162
Total Yards,240,407
Fumbles-Lost,2-1,1-1
Turnovers,2,1
Penalties-Yards,7-51,5-55
Third Down Conv.,5-12,6-12
Fourth Down Conv.,0-1,1-1
Time of Possession,25:02,34:58
