Quarter,Time,Tm,Detail,BUF,STL
1.0,11:26,Bills,Rian Lindell 45 yard field goal,3,0
,8:37,Rams,Donnie Avery 37 yard rush (Josh Brown kick),3,7
,3:06,Bills,Rian Lindell 35 yard field goal,6,7
2.0,13:41,Rams,Steven Jackson 29 yard rush (Josh Brown kick),6,14
3.0,9:27,Bills,Fred Jackson 22 yard rush (Rian Lindell kick),13,14
4.0,14:48,Bills,Jabari Greer 33 yard interception return (Rian Lindell kick),20,14
,10:24,Bills,Lee Evans 39 yard pass from Trent Edwards (Lee Evans pass from Trent Edwards),28,14
,6:21,Bills,Rian Lindell 45 yard field goal,31,14
