Unnamed: 0,BUF,STL
First Downs,14,16
Rush-Yds-TDs,31-111-1,29-167-2
Cmp-Att-Yd-TD-INT,15-25-197-1-1,17-33-236-0-1
Sacked-Yards,4-31,2-23
Net Pass Yards,166,213
Total Yards,277,380
Fumbles-Lost,1-0,2-1
Turnovers,1,2
Penalties-Yards,5-35,5-50
Third Down Conv.,3-13,3-13
Fourth Down Conv.,0-0,1-4
Time of Possession,31:28,28:32
