Quarter,Time,Down,ToGo,Location,BUF,STL,Detail,EPB,EPA
1,5:58,2,8,STL 27,3,7,Trent Edwards pass incomplete deep right intended for Lee Evans,3.370,2.680
1,5:51,3,8,STL 27,3,7,Trent Edwards pass complete short left to Josh Reed for 8 yards (tackle by Will Witherspoon),2.680,4.310
1,5:12,1,10,STL 19,3,7,Marshawn Lynch right guard for 7 yards (tackle by Victor Adeyanju),4.310,4.920
1,4:30,2,3,STL 12,3,7,Marshawn Lynch left tackle for 3 yards (tackle by Jason Craft),4.920,5.140
1,4:00,1,9,STL 9,3,7,Trent Edwards pass incomplete short right intended for James Hardy (defended by Ronald Bartell),5.140,4.380
1,3:55,2,9,STL 9,3,7,Trent Edwards sacked for -8 yards,4.380,2.740
1,3:15,3,17,STL 17,3,7,Trent Edwards pass incomplete short right intended for James Hardy (defended by Ronald Bartell),2.740,2.310
1,3:11,4,17,STL 17,6,7,Rian Lindell 35 yard field goal good,2.310,3.000
1,,,,BUF 30,6,7,"Rian Lindell kicks off 73 yards, returned by Dante Hall for 28 yards (tackle by John Wendling). Penalty on Brett Romberg: Offensive Holding, 10 yards",0.000,-0.370
1,2:59,1,10,STL 11,6,7,Trent Green pass complete short left to Torry Holt for 10 yards (tackle by Jabari Greer),-0.370,0.340
1,2:19,1,10,STL 21,6,7,Steven Jackson left guard for 2 yards (tackle by Ryan Denney),0.340,0.070
1,1:47,2,8,STL 23,6,7,Dante Hall pass incomplete deep right intended for Randy McMichael,0.070,-0.630
1,1:40,3,8,STL 23,6,7,Trent Green pass complete short right to Donnie Avery for 15 yards (tackle by Leodis McKelvin),-0.630,1.470
1,1:31,1,10,STL 38,6,7,Trent Green pass complete short right to Joe Klopfenstein for 8 yards (tackle by Kawika Mitchell),1.470,2.000
1,1:09,2,2,STL 46,6,7,Dante Hall right end for 10 yards (tackle by Ashton Youboty),2.000,2.650
1,0:27,1,10,BUF 44,6,7,"Steven Jackson left guard for 3 yards. Penalty on Ko Simpson: Defensive Offside, 5 yards (no play)",2.650,3.380
Quarter,Time,Down,ToGo,Location,BUF,STL,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,5,BUF 39,6,7,Steven Jackson left guard for 6 yards (tackle by Ryan Denney),3.380,3.380
2,14:31,1,10,BUF 33,6,7,Steven Jackson left guard for 4 yards (tackle by Kawika Mitchell and Spencer Johnson),3.380,3.380
2,13:49,2,6,BUF 29,6,13,"Steven Jackson left guard for 29 yards, touchdown. Penalty on Steven Jackson: Unsportsmanlike Conduct, 15 yards",3.380,7.000
2,,,,BUF 2,6,14,Josh Brown kicks extra point good,0.000,0.000
2,,,,STL 15,6,14,"Josh Brown kicks off 72 yards, returned by Leodis McKelvin for 35 yards (tackle by Jonathan Wade)",0.000,2.130
2,13:34,1,10,BUF 48,6,14,Trent Edwards pass complete short right to Marshawn Lynch for 3 yards (tackle by Pisa Tinoisamoa),2.130,1.990
2,12:52,2,7,STL 49,6,14,Marshawn Lynch left tackle for 3 yards (tackle by Chris Draft),1.990,1.680
2,12:12,3,4,STL 46,6,14,Trent Edwards sacked by Leonard Little for -6 yards,1.680,-0.190
2,11:47,4,10,BUF 48,6,14,"Brian Moorman punts 44 yards, fair catch by Dante Hall",-0.190,0.380
2,11:40,1,10,STL 8,6,14,Steven Jackson left end for -4 yards (tackle by Kyle Williams),-0.380,-1.070
2,11:03,2,14,STL 4,6,14,Steven Jackson left end for 1 yard (tackle by Marcus Stroud),-1.070,-1.770
2,10:21,3,13,STL 5,6,14,Trent Green pass incomplete short right intended for Randy McMichael,-1.770,-2.490
2,10:16,4,13,STL 5,6,14,"Donnie Jones punts 60 yards, returned by Leodis McKelvin for 14 yards (tackle by Chris Chamberlain)",-2.490,-2.190
2,10:05,1,10,BUF 49,6,14,Marshawn Lynch left tackle for 4 yards (tackle by James Hall),2.190,2.190
2,9:27,2,6,STL 47,6,14,Trent Edwards pass complete short middle to Marshawn Lynch for 6 yards (tackle by Pisa Tinoisamoa),2.190,2.850
2,8:52,1,10,STL 41,6,14,"Penalty on Jason Peters: False Start, 5 yards (no play)",2.850,2.520
2,8:26,,,,6,14,Timeout #1 by Buffalo Bills,0.000,2.520
2,8:26,1,15,STL 46,6,14,Marshawn Lynch up the middle for -5 yards (tackle by Ricky Manning and Victor Adeyanju),2.520,0.960
2,7:57,2,20,BUF 49,6,14,Trent Edwards pass complete deep right to Josh Reed for 20 yards (tackle by Corey Chavous),0.960,3.510
2,7:21,1,10,STL 31,6,14,Fred Jackson left end for no gain (tackle by Jason Craft),3.510,2.970
2,6:48,2,10,STL 31,6,14,Trent Edwards sacked by Leonard Little for -7 yards,2.970,1.360
2,6:09,3,17,STL 38,6,14,Trent Edwards pass incomplete short right intended for Robert Royal (defended by La'Roi Glover),1.360,0.720
2,6:03,4,17,STL 38,6,14,Brian Moorman punts 32 yards,0.720,0.380
2,5:55,1,10,STL 6,6,14,Trent Green pass complete short right to Donnie Avery for 4 yards (tackle by Ashton Youboty),-0.380,-0.490
2,5:32,2,6,STL 10,6,14,Steven Jackson left guard for 7 yards (tackle by Keith Ellison),-0.490,-0.060
2,4:56,1,10,STL 17,6,14,Trent Green pass incomplete deep left intended for Torry Holt,-0.060,-0.580
2,4:48,2,10,STL 17,6,14,"Penalty on Jacob Bell: False Start, 5 yards (no play)",-0.580,-1.150
2,4:48,2,15,STL 12,6,14,Steven Jackson left guard for 8 yards (tackle by Paul Posluszny),-1.150,-0.870
2,4:03,3,7,STL 20,6,14,Brian Leonard up the middle for 2 yards (tackle by Chris Kelsay),-0.870,-1.900
2,3:31,4,5,STL 22,6,14,"Donnie Jones punts 60 yards, returned by Leodis McKelvin for 12 yards (tackle by Pisa Tinoisamoa)",-1.900,-0.940
2,3:18,1,10,BUF 30,6,14,Trent Edwards right guard for no gain (tackle by Ricky Manning),0.940,0.390
2,2:43,2,10,BUF 30,6,14,Trent Edwards pass incomplete deep left intended for Lee Evans is intercepted by O.J. Atogwe at STL-32 and returned for 19 yards (tackle by James Hardy),0.390,-2.320
2,2:28,1,10,BUF 49,6,14,Steven Jackson left guard for 1 yard (tackle by Donte Whitner),2.320,1.920
2,2:00,2,9,BUF 48,6,14,Trent Green pass complete short middle to Steven Jackson for 6 yards (tackle by Keith Ellison),1.920,2.020
2,1:52,,,,6,14,Timeout #1 by St. Louis Rams,0.000,2.020
2,1:52,3,3,BUF 42,6,14,Trent Green pass incomplete short middle intended for Randy McMichael,2.020,0.460
2,1:46,,,,6,14,Timeout #2 by St. Louis Rams,0.000,0.460
2,1:46,4,3,BUF 42,6,14,Trent Green pass incomplete short left intended for Randy McMichael,0.460,-1.730
2,1:39,1,10,BUF 42,6,14,Trent Edwards pass complete short left to Robert Royal for 8 yards (tackle by Will Witherspoon),1.730,2.270
2,1:14,2,2,,6,14,Trent Edwards pass incomplete short right intended for Robert Royal (defended by Quinton Culberson),2.270,1.550
2,1:09,3,2,,6,14,"Marshawn Lynch left tackle for 3 yards (tackle by Corey Chavous). Penalty on Melvin Fowler: Tripping, 10 yards",1.550,0.630
2,1:09,3,9,BUF 43,6,14,Trent Edwards sacked by James Hall for -10 yards,0.630,-1.180
2,0:51,4,19,BUF 33,6,14,"Brian Moorman punts 62 yards, returned by Dante Hall for 8 yards (tackle by Copeland Bryan)",-1.180,0.320
2,0:40,1,10,STL 13,6,14,Steven Jackson up the middle for 5 yards (tackle by Aaron Schobel),-0.320,-0.140
2,0:40,2,5,STL 18,6,14,Steven Jackson up the middle for 22 yards (tackle by Jabari Greer),-0.140,1.600
Quarter,Time,Down,ToGo,Location,BUF,STL,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,STL 30,6,14,"Josh Brown kicks off 71 yards, returned by Leodis McKelvin for 25 yards (tackle by Chris Draft)",0.000,0.540
3,14:54,1,10,BUF 24,6,14,Marshawn Lynch left end for 6 yards (tackle by Adam Carriker),0.540,0.810
3,14:14,2,4,BUF 30,6,14,Fred Jackson left end for 10 yards (tackle by O.J. Atogwe),0.810,1.600
3,13:37,1,10,BUF 40,6,14,Trent Edwards pass complete short left to Fred Jackson for 3 yards (tackle by Will Witherspoon),1.600,1.460
3,12:54,2,7,BUF 43,6,14,Trent Edwards up the middle for 11 yards (tackle by Pisa Tinoisamoa),1.460,2.520
3,12:16,1,10,STL 46,6,14,Fred Jackson left tackle for 1 yard (tackle by Pisa Tinoisamoa),2.520,2.110
3,11:39,2,9,STL 45,6,14,Trent Edwards pass complete short middle to Josh Reed for 8 yards (tackle by Jason Craft),2.110,2.480
3,10:50,3,1,STL 37,6,14,Marshawn Lynch right end for 6 yards (tackle by Quinton Culberson),2.480,3.510
3,10:10,1,10,STL 31,6,14,Marshawn Lynch left end for 9 yards (tackle by Jason Craft),3.510,4.180
3,9:36,2,1,STL 22,12,14,"Fred Jackson right tackle for 22 yards, touchdown",4.180,7.000
3,,,,,12,14,"Two Point Attempt: Fred Jackson left tackle, conversion succeeds. Penalty on Robert Royal: Illegal Formation, 5 yards (no play)",1.000,0.000
3,,,,STL 2,13,14,Rian Lindell kicks extra point good,0.000,0.000
3,,,,BUF 30,13,14,"Rian Lindell kicks off 69 yards, returned by Dante Hall for 24 yards (tackle by George Wilson)",0.000,0.610
3,9:19,1,10,STL 25,13,14,Trent Green pass complete short right to Torry Holt for 22 yards (tackle by Paul Posluszny),0.610,2.060
3,8:45,1,10,STL 47,13,14,Steven Jackson left tackle for 2 yards (tackle by Paul Posluszny and Chris Kelsay),2.060,1.790
3,8:09,2,8,STL 49,13,14,Trent Green pass complete short left to Torry Holt for 14 yards (tackle by Keith Ellison),1.790,3.120
3,7:33,1,10,BUF 37,13,14,Trent Green pass complete short left to Steven Jackson for 9 yards (tackle by Donte Whitner),3.120,3.790
3,6:59,2,1,BUF 28,13,14,Steven Jackson right end for -3 yards (tackle by Ryan Denney),3.790,2.680
3,6:14,3,4,BUF 31,13,14,Steven Jackson left guard for 3 yards (tackle by Aaron Schobel),2.680,1.720
3,5:42,4,1,BUF 28,13,14,Dante Hall left end for 3 yards (tackle by Ko Simpson),1.720,3.910
3,5:01,1,10,BUF 25,13,14,Trent Green pass incomplete short middle intended for Dan Kreider,3.910,3.360
3,4:51,2,10,BUF 25,13,14,Trent Green sacked by Donte Whitner for -13 yards,3.360,0.960
3,4:17,3,23,BUF 38,13,14,Brian Leonard up the middle for 5 yards (tackle by Aaron Schobel),0.960,1.150
3,3:41,4,18,BUF 33,13,14,Josh Brown 51 yard field goal no good,1.150,-1.660
3,3:35,1,10,BUF 41,13,14,Marshawn Lynch left tackle for 2 yards (tackle by Will Witherspoon),1.660,1.390
3,2:56,2,8,BUF 43,13,14,Trent Edwards pass complete short right to Josh Reed for 11 yards (tackle by Ronald Bartell),1.390,2.520
3,2:20,1,10,STL 46,13,14,Fred Jackson right guard for 1 yard (tackle by La'Roi Glover),2.520,2.110
3,1:42,2,9,STL 45,13,14,Trent Edwards pass complete short left to Fred Jackson for no gain,2.110,1.420
3,0:56,3,9,STL 45,13,14,Trent Edwards pass incomplete short right intended for Josh Reed,1.420,0.270
3,0:51,4,9,STL 45,13,14,Brian Moorman punts 32 yards,0.270,0.320
3,0:45,1,10,STL 13,13,14,Steven Jackson up the middle for -2 yards (tackle by Paul Posluszny),-0.320,-0.930
Quarter,Time,Down,ToGo,Location,BUF,STL,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,12,STL 11,19,14,"Trent Green pass incomplete deep right intended for Randy McMichael is intercepted by Jabari Greer at STL-33 and returned for 33 yards, touchdown",-0.930,-7.000
4,,,,STL 2,20,14,Rian Lindell kicks extra point good,0.000,0.000
4,,,,BUF 30,20,14,"Rian Lindell kicks off 71 yards, returned by Dante Hall for 25 yards (tackle by John Wendling)",0.000,0.540
4,14:42,1,10,STL 24,20,14,Trent Green pass complete short right to Donnie Avery for 3 yards (tackle by Ashton Youboty),0.540,0.400
4,14:12,2,7,STL 27,20,14,Steven Jackson left tackle for 2 yards (tackle by Paul Posluszny),0.400,-0.030
4,13:32,3,5,STL 29,20,14,"Trent Green pass incomplete short right intended for Torry Holt. Penalty on Alex Barron: Face Mask (15 Yards) (Declined), Penalty on STL: Illegal Shift (Declined)",-0.030,-1.440
4,13:25,4,5,STL 29,20,14,"Donnie Jones punts 58 yards, returned by Fred Jackson for 6 yards (tackle by Pisa Tinoisamoa)",-1.440,-0.150
4,13:11,1,10,BUF 19,20,14,"Penalty on Clifton Ryan: Encroachment, 5 yards (no play)",0.150,0.940
4,13:11,1,5,BUF 24,20,14,Trent Edwards pass complete short left to Derek Schouman for 21 yards (tackle by Pisa Tinoisamoa),0.940,1.930
4,12:44,1,10,BUF 45,20,14,Trent Edwards pass complete short right to Fred Jackson for 6 yards (tackle by Will Witherspoon),1.930,2.190
4,11:58,2,4,STL 49,20,14,Marshawn Lynch left tackle for -1 yards (tackle by Clifton Ryan),2.190,1.360
4,11:16,3,5,,20,14,Marshawn Lynch left guard for 11 yards (tackle by Leonard Little),1.360,2.980
4,10:32,1,10,STL 39,26,14,"Trent Edwards pass complete deep left to Lee Evans for 39 yards, touchdown",2.980,7.000
4,,,,,28,14,"Two Point Attempt: Trent Edwards pass complete to Lee Evans, conversion succeeds. Penalty on La'Roi Glover: Roughing the Passer, 15 yards",1.000,1.000
4,,,,BUF 45,28,14,"Rian Lindell kicks off 55 yards, touchback",0.000,0.280
4,10:24,1,10,STL 20,28,14,Trent Green pass complete deep left to Randy McMichael for 17 yards (tackle by Ko Simpson),0.280,1.400
4,9:59,1,10,STL 37,28,14,"Trent Green pass complete short right to Dane Looker for 7 yards (tackle by Ashton Youboty). Dane Looker fumbles (forced by Ashton Youboty), ball out of bounds at STL-44",1.400,1.800
4,9:33,2,3,STL 44,28,14,Steven Jackson up the middle for 2 yards (tackle by Aaron Schobel),1.800,1.360
4,9:01,3,1,STL 46,28,14,Steven Jackson left tackle for -1 yards (tackle by Kyle Williams),1.360,-0.390
4,8:19,4,2,STL 45,28,14,Trent Green pass incomplete short right intended for Donnie Avery,-0.390,-2.590
4,8:13,1,10,STL 45,28,14,Marshawn Lynch right end for 11 yards (tackle by O.J. Atogwe),2.590,3.310
4,7:28,1,10,STL 34,28,14,Marshawn Lynch up the middle for -5 yards,3.310,2.090
4,6:45,2,15,STL 39,28,14,Fred Jackson left end for 9 yards (tackle by O.J. Atogwe),2.090,2.610
4,6:32,,,,28,14,Timeout #1 by St. Louis Rams,0.000,2.610
4,6:32,3,6,STL 30,28,14,Marshawn Lynch right tackle for 3 yards (tackle by La'Roi Glover),2.610,1.770
4,6:26,,,,28,14,Timeout #2 by St. Louis Rams,0.000,1.770
4,6:26,4,3,STL 27,31,14,Rian Lindell 45 yard field goal good,1.770,3.000
4,,,,BUF 30,31,14,"Rian Lindell kicks off 64 yards, returned by Dante Hall for 22 yards (tackle by Blake Costanzo)",0.000,0.810
4,6:17,1,10,STL 28,31,14,"Trent Green pass complete deep middle to Dane Looker for 30 yards (tackle by Leodis McKelvin). Dane Looker fumbles (forced by Leodis McKelvin), recovered by Leodis McKelvin at BUF-42 (tackle by Dane Looker)",0.810,-1.730
4,6:08,1,10,BUF 42,31,14,Marshawn Lynch right guard for -3 yards (tackle by Chris Draft),1.730,0.780
4,5:24,2,13,BUF 39,31,14,Marshawn Lynch right end for no gain (tackle by Clifton Ryan),0.780,0.100
4,4:38,3,13,BUF 39,31,14,Fred Jackson left tackle for 3 yards (tackle by Leonard Little),0.100,-0.590
4,4:31,,,,31,14,Timeout #3 by St. Louis Rams,0.000,-0.590
4,4:31,4,10,BUF 42,31,14,Brian Moorman punts 43 yards,-0.590,0.220
4,4:23,1,10,STL 15,31,14,Trent Green pass complete short right to Steven Jackson for 5 yards (tackle by Chris Kelsay),-0.220,0.080
4,3:58,2,5,STL 20,31,14,Trent Green sacked by Spencer Johnson for -10 yards,0.080,-2.010
4,3:32,3,15,STL 10,31,14,Trent Green pass complete short right to Steven Jackson for 53 yards (tackle by Ko Simpson),-2.010,3.120
4,2:54,1,10,BUF 37,31,14,Trent Green pass complete short left to Randy McMichael for 9 yards (tackle by Donte Whitner),3.120,3.790
4,2:36,2,1,BUF 28,31,14,"Trent Green pass incomplete short right intended for Brian Leonard. Penalty on Orlando Pace: Offensive Holding (Offsetting), Penalty on Ryan Denney: Defensive Offside (Offsetting) (no play)",3.790,3.790
4,2:29,2,1,BUF 28,31,14,Steven Jackson up the middle for 8 yards (tackle by Marcus Stroud),3.790,4.240
4,2:07,1,10,BUF 20,31,14,Trent Green pass incomplete short right intended for Donnie Avery,4.240,3.690
4,2:04,2,10,BUF 20,31,14,Trent Green pass complete short middle to Steven Jackson for 5 yards (tackle by Paul Posluszny),3.690,3.700
4,1:58,3,5,BUF 15,31,14,Trent Green pass incomplete short right intended for Eddie Kennison,3.700,2.490
4,1:53,4,5,BUF 15,31,14,Trent Green pass incomplete short left intended for Joe Klopfenstein (defended by Ko Simpson),2.490,0.220
4,1:49,1,10,BUF 15,31,14,Trent Edwards kneels for -1 yards,-0.220,-0.820
4,1:07,2,11,BUF 14,31,14,Trent Edwards kneels for -1 yards,-0.820,-1.640
4,0:31,3,12,BUF 13,31,14,Trent Edwards kneels for -1 yards,-1.640,-2.490
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
