Quarter,Time,Down,ToGo,Location,DET,CLE,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Browns won the coin toss and deferred, Lions to receive the opening kickoff.",,
1,15:00,,,CLE 35,0,0,"Billy Cundiff kicks off 65 yards, touchback",0.000,-0.280
1,15:00,1,10,DET 20,0,0,Reggie Bush left guard for 1 yard (tackle by T.J. Ward),0.280,-0.130
1,14:29,2,9,DET 21,0,0,Matthew Stafford pass complete short left to Kris Durham for 8 yards (tackle by Buster Skrine),-0.130,0.230
1,14:01,3,1,DET 29,0,0,Joique Bell right guard for 2 yards (tackle by T.J. Ward and Ahtyba Rubin),0.230,1.000
1,13:25,1,10,DET 31,0,0,Reggie Bush left tackle for 2 yards (tackle by Paul Kruger),1.000,0.730
1,12:46,2,8,DET 33,0,0,Matthew Stafford pass complete short left to Kris Durham for 10 yards (tackle by Chris Owens and Craig Robertson),0.730,1.800
1,12:07,1,10,DET 43,0,0,Matthew Stafford pass complete short right to Joique Bell for 8 yards (tackle by T.J. Ward),1.800,2.330
1,11:30,2,2,CLE 49,0,0,Reggie Bush right tackle for 2 yards (tackle by T.J. Ward),2.330,2.460
1,10:52,1,10,CLE 47,0,0,Matthew Stafford pass incomplete short right intended for Kris Durham,2.460,1.910
1,10:48,2,10,CLE 47,0,0,Matthew Stafford pass complete short left to Kris Durham for 8 yards (tackle by Chris Owens),1.910,2.280
1,10:06,3,2,CLE 39,0,0,Matthew Stafford pass incomplete short middle intended for Calvin Johnson,2.280,0.660
1,10:02,4,2,CLE 39,0,0,Sam Martin punts 34 yards,0.660,0.380
1,9:53,1,10,CLE 5,0,0,Willis McGahee right guard for 12 yards (tackle by Rashean Mathis),-0.380,-0.060
1,9:21,1,10,CLE 17,0,0,Brandon Weeden pass complete short right to Willis McGahee for 2 yards (tackle by Stephen Tulloch),-0.060,-0.250
1,8:47,2,8,CLE 19,0,0,Willis McGahee right tackle for no gain (tackle by Ashlee Palmer and Nick Fairley),-0.250,-1.000
1,8:04,3,8,CLE 19,0,0,Brandon Weeden pass incomplete short middle intended for Jordan Cameron (defended by Stephen Tulloch),-1.000,-2.140
1,8:00,4,8,CLE 19,0,0,"Spencer Lanning punts 46 yards, returned by Micheal Spurlock for 7 yards (tackle by Chris Ogbonnaya)",-2.140,-1.730
1,7:50,1,10,DET 42,0,0,Reggie Bush left tackle for 7 yards (tackle by Tashaun Gipson and Craig Robertson),1.730,2.130
1,7:14,2,3,DET 49,0,0,Matthew Stafford pass incomplete deep middle intended for Kris Durham (defended by Buster Skrine),2.130,1.420
1,7:07,3,3,DET 49,0,0,Matthew Stafford pass complete short middle to Brandon Pettigrew for 8 yards (tackle by Tashaun Gipson),1.420,2.720
1,6:33,1,10,CLE 43,0,0,Matthew Stafford pass complete short right to Kevin Ogletree for 5 yards (tackle by Joe Haden),2.720,2.850
1,5:55,2,5,CLE 38,0,0,Joique Bell left guard for 6 yards (tackle by Tashaun Gipson and Ahtyba Rubin),2.850,3.450
1,5:13,1,10,CLE 32,0,0,Matthew Stafford pass complete short left to Calvin Johnson for 7 yards (tackle by Joe Haden),3.450,3.850
1,4:30,2,3,CLE 25,0,0,Reggie Bush left guard for 2 yards (tackle by Joe Haden),3.850,3.400
1,3:43,3,1,CLE 23,0,0,"Matthew Stafford pass incomplete deep right intended for Kevin Ogletree. Penalty on Joe Haden: Defensive Pass Interference, 16 yards (no play)",3.400,5.600
1,3:37,1,7,CLE 7,0,0,"Matthew Stafford pass incomplete short right intended for Calvin Johnson. Penalty on Joe Haden: Defensive Pass Interference, 6 yards (no play)",5.600,6.970
1,3:33,1,1,CLE 1,0,0,Matthew Stafford pass incomplete short right intended for Calvin Johnson,6.970,5.910
1,3:31,2,1,CLE 1,6,0,"Matthew Stafford pass complete short right to Joseph Fauria for 1 yard, touchdown",5.910,7.000
1,3:31,,,CLE 2,7,0,David Akers kicks extra point good,0.000,0.000
1,3:31,,,DET 35,7,0,"Sam Martin kicks off 74 yards, touchback",0.000,-0.280
1,3:27,1,10,CLE 20,7,0,Brandon Weeden pass incomplete short left intended for Josh Gordon,0.280,-0.270
1,3:24,2,10,CLE 20,7,0,Chris Ogbonnaya left tackle for 6 yards (tackle by Willie Young),-0.270,-0.160
1,2:47,3,4,CLE 26,7,0,Brandon Weeden pass incomplete short middle intended for Davone Bess,-0.160,-1.630
1,2:42,4,4,CLE 26,7,0,"Spencer Lanning punts 52 yards, returned by Micheal Spurlock for 7 yards (tackle by Johnson Bademosi). Penalty on Don Carey: Offensive Holding, 10 yards",-1.630,0.350
1,2:32,1,10,DET 12,7,0,Matthew Stafford pass incomplete short left intended for Ryan Broyles,-0.350,-0.350
1,2:29,1,10,DET 12,7,0,Timeout #1 by Detroit Lions,-0.350,-0.780
1,2:29,2,10,DET 12,7,0,Mikel Leshoure right guard for 5 yards (tackle by Tashaun Gipson),-0.780,-0.840
1,1:46,3,5,DET 17,7,0,Matthew Stafford pass incomplete short left intended for Calvin Johnson,-0.840,-2.320
1,1:43,4,5,DET 17,7,0,"Sam Martin punts 49 yards, returned by Travis Benjamin for 2 yards (tackle by Don Carey). Penalty on Buster Skrine: Illegal Block Above the Waist, 10 yards",-2.320,-0.670
1,1:32,1,10,CLE 26,7,0,Travis Benjamin left end for 45 yards (tackle by DeAndre Levy),0.670,3.640
1,0:53,1,10,DET 29,7,0,Brandon Weeden pass complete short right to Davone Bess for 9 yards (tackle by Ashlee Palmer),3.640,4.320
1,0:22,2,1,DET 20,7,0,Willis McGahee right guard for 3 yards (tackle by Devin Taylor),4.320,4.440
