Unnamed: 0,DET,CLE
First Downs,24,23
Rush-Yds-TDs,28-118-0,21-126-0
Cmp-Att-Yd-TD-INT,25-43-248-4-1,26-43-292-2-2
Sacked-Yards,1-0,2-23
Net Pass Yards,248,269
Total Yards,366,395
Fumbles-Lost,0-0,1-0
Turnovers,1,2
Penalties-Yards,8-65,9-87
Third Down Conv.,8-14,5-14
Fourth Down Conv.,0-0,1-1
Time of Possession,33:29,26:31
