Quarter,Time,Tm,Detail,CHI,MIN
1.0,5:14,Bears,Robbie Gould 22 yard field goal,3,0
2.0,14:53,Vikings,Paul Edinger 54 yard field goal,3,3
,7:37,Vikings,Ciatrick Fason 2 yard rush (Paul Edinger kick),3,10
,0:03,Vikings,Travis Taylor 17 yard pass from Brad Johnson (Paul Edinger kick),3,17
3.0,3:58,Vikings,Mewelde Moore 7 yard pass from Brad Johnson (Paul Edinger kick),3,24
4.0,14:52,Vikings,Paul Edinger 27 yard field goal,3,27
,7:08,Bears,Justin Gage 4 yard pass from Jeff Blake (Robbie Gould kick),10,27
,5:10,Vikings,Michael Bennett 61 yard rush (Paul Edinger kick),10,34
