Unnamed: 0,CHI,MIN
First Downs,13,22
Rush-Yds-TDs,33-154-0,18-149-2
Cmp-Att-Yd-TD-INT,14-23-121-1-0,27-40-247-2-0
Sacked-Yards,3-24,0-0
Net Pass Yards,97,247
Total Yards,251,396
Fumbles-Lost,2-0,0-0
Turnovers,0,0
Penalties-Yards,8-45,7-45
Third Down Conv.,6-16,5-10
Fourth Down Conv.,2-4,0-0
Time of Possession,33:28,26:32
