Unnamed: 0,WAS,PHI
First Downs,19,18
Rush-Yds-TDs,33-130-1,20-114-0
Cmp-Att-Yd-TD-INT,16-29-209-1-1,28-46-240-0-0
Sacked-Yards,1-2,3-14
Net Pass Yards,207,226
Total Yards,337,340
Fumbles-Lost,1-0,0-0
Turnovers,1,0
Penalties-Yards,5-25,2-15
Third Down Conv.,8-15,4-16
Fourth Down Conv.,0-0,2-3
Time of Possession,30:04,29:56
