Quarter,Time,Tm,Detail,ARI,NYG
2.0,13:28,Giants,Brandon Jacobs 4 yard rush (Lawrence Tynes kick),0,7
,4:18,Cardinals,Beanie Wells 13 yard rush (Neil Rackers kick),7,7
,2:09,Giants,Hakeem Nicks 62 yard pass from Eli Manning (Lawrence Tynes kick),7,14
,0:15,Cardinals,Neil Rackers 30 yard field goal,10,14
3.0,10:19,Cardinals,Tim Hightower 1 yard rush (Neil Rackers kick),17,14
,2:32,Cardinals,Jason Wright 6 yard pass from Kurt Warner (Neil Rackers kick),24,14
4.0,8:14,Giants,Lawrence Tynes 20 yard field goal,24,17
