Unnamed: 0,ARI,NYG
First Downs,15,15
Rush-Yds-TDs,22-72-2,26-107-1
Cmp-Att-Yd-TD-INT,20-36-231-1-1,19-37-243-1-3
Sacked-Yards,2-15,3-23
Net Pass Yards,216,220
Total Yards,288,327
Fumbles-Lost,2-1,2-1
Turnovers,2,4
Penalties-Yards,7-60,7-30
Third Down Conv.,3-14,4-15
Fourth Down Conv.,0-0,1-1
Time of Possession,29:44,30:16
