Quarter,Time,Tm,Detail,NYG,NOR
1.0,7:19,Saints,Mike Bell 2 yard rush (John Carney kick),0,7
,2:11,Saints,Jeremy Shockey 1 yard pass from Drew Brees (John Carney kick),0,14
,0:03,Giants,Lawrence Tynes 49 yard field goal,3,14
2.0,12:40,Saints,Robert Meachem 36 yard pass from Drew Brees (John Carney kick failed),3,20
,7:41,Giants,Ahmad Bradshaw 10 yard rush (Lawrence Tynes kick),10,20
,5:04,Saints,Lance Moore 12 yard pass from Drew Brees (John Carney kick),10,27
,3:19,Giants,Mario Manningham 15 yard pass from Eli Manning (Lawrence Tynes kick),17,27
,0:09,Saints,Reggie Bush 7 yard rush (John Carney kick),17,34
3.0,4:10,Saints,Marques Colston 12 yard pass from Drew Brees (John Carney kick),17,41
4.0,12:09,Giants,Lawrence Tynes 38 yard field goal,20,41
,7:04,Saints,Heath Evans 2 yard rush (John Carney kick),20,48
,3:15,Giants,Hakeem Nicks 37 yard pass from David Carr (Lawrence Tynes kick),27,48
