Unnamed: 0,NYG,NOR
First Downs,17,28
Rush-Yds-TDs,19-84-1,40-124-3
Cmp-Att-Yd-TD-INT,18-36-250-2-1,23-30-369-4-0
Sacked-Yards,2-9,0-0
Net Pass Yards,241,369
Total Yards,325,493
Fumbles-Lost,1-1,1-0
Turnovers,2,0
Penalties-Yards,9-110,6-55
Third Down Conv.,3-10,7-13
Fourth Down Conv.,1-1,1-2
Time of Possession,23:53,36:07
